Analyst,,,,,
Date Started,9/19/2024 8:19 AM  GMT: 9/19/2024 3:19 PM,,,,
Worksheet,EXP000046_24,,,,
Comment,,,,,
Methods,"Au,Au",,,,
,,,,,
Method: Au (Flame),,,,,
,,,,,
9/19/2024,10:18:50 AM,REAGENT BLANK,0,,mg/L
9/19/2024,10:19:30 AM,BLANCO,0.0021,,mg/L
9/19/2024,10:20:38 AM,PATRON,0.9222,,mg/L
9/19/2024,10:20:58 AM,EXP000046-001,0.9788,,mg/L
9/19/2024,10:21:10 AM,EXP000046-002,0.4817,,mg/L
9/19/2024,10:21:22 AM,EXP000046-003,0.1982,,mg/L
9/19/2024,10:21:34 AM,EXP000046-004,-0.0112,,mg/L
9/19/2024,10:21:46 AM,EXP000046-005,0.6891,,mg/L
9/19/2024,10:21:58 AM,EXP000046-006,0.3766,,mg/L
9/19/2024,10:22:44 AM,EXP000046-008,0.6328,,mg/L
9/19/2024,10:23:08 AM,EXP000046-010,0.4689,,mg/L
9/19/2024,10:23:18 AM,EXP000046-011,0.6686,,mg/L
9/19/2024,10:24:10 AM,PATRON,0.8772,,mg/L
9/19/2024,10:24:32 AM,EXP000046-007,0.4347,,mg/L
9/19/2024,10:24:58 AM,EXP000046-014,0.569,,mg/L
9/19/2024,10:25:08 AM,EXP000046-015,0.2795,,mg/L
9/19/2024,10:25:20 AM,EXP000046-016,0.6796,,mg/L
9/19/2024,10:25:32 AM,EXP000046-017,0.4628,,mg/L
9/19/2024,10:25:46 AM,EXP000046-018,0.5643,,mg/L
9/19/2024,10:28:46 AM,PATRON,0.891,,mg/L
9/19/2024,10:29:00 AM,EXP000046-019,0.6221,,mg/L
9/19/2024,10:29:12 AM,EXP000046-020,0.576,,mg/L
9/19/2024,10:29:22 AM,EXP000046-021,0.282,,mg/L
9/19/2024,10:29:34 AM,EXP000046-022,1.1867,,mg/L
9/19/2024,10:30:00 AM,EXP000046-024,0.1138,,mg/L
9/19/2024,10:30:56 AM,EXP000046-012,0.294,,mg/L
9/19/2024,10:31:06 AM,EXP000046-013,0.3168,,mg/L
9/19/2024,2:21:28 PM,PATRON,0.9239,,mg/L
9/19/2024,2:21:44 PM,EXP000046-009,0.0142,,mg/L
9/19/2024,2:22:12 PM,EXP000046-023,0.4396,,mg/L
9/19/2024,2:25:00 PM,PATRON,0.9249,,mg/L
9/19/2024,2:25:18 PM,BLANCO,0.1112,,mg/L
9/19/2024,2:25:26 PM,REAGENT BLANK,0,,mg/L
,,,,,
