"Analista",""
"Fecha de inicio","11/01/2026 10:05 p. m.  GMT: 12/01/2026 05:05 a. m."
"Hoja de trabajo","EXP000198_24"
"Comentario",""
"Métodos","Au,Au"

"Método: Au (Llama)"

"11/01/2026","10:08:14 p. m.","PATRON",0.8987,"","mg/L",0.7
"11/01/2026","10:08:30 p. m.","BLANCO",0.0261,"","mg/L",25.8
"11/01/2026","10:08:38 p. m.","REAGENT BLANK",0.0000,"","mg/L",9.0
"11/01/2026","10:09:00 p. m.","EXP000198-002",0.0464,"","mg/L",3.0
"11/01/2026","10:09:10 p. m.","EXP000198-003",0.0017,"","mg/L",71.4
"11/01/2026","10:09:20 p. m.","EXP000198-004",0.0487,"","mg/L",2.9
"11/01/2026","10:09:30 p. m.","EXP000198-005",0.2248,"","mg/L",0.7
"11/01/2026","10:09:40 p. m.","EXP000198-006",1.0719,"","mg/L",0.6
"11/01/2026","10:09:50 p. m.","PATRON",0.8803,"","mg/L",1.2
"11/01/2026","10:10:02 p. m.","EXP000198-007",0.1647,"","mg/L",1.1
"11/01/2026","10:10:10 p. m.","EXP000198-008",0.0748,"","mg/L",1.3
"11/01/2026","10:10:20 p. m.","EXP000198-009",0.0811,"","mg/L",1.9
"11/01/2026","10:10:30 p. m.","EXP000198-010",0.2654,"","mg/L",0.6
"11/01/2026","10:10:40 p. m.","EXP000198-011",0.0593,"","mg/L",1.0
"11/01/2026","10:10:50 p. m.","EXP000198-012",0.4444,"","mg/L",0.5
"11/01/2026","10:11:50 p. m.","EXP000198-001",0.4330,"","mg/L",0.6
"11/01/2026","10:12:00 p. m.","PATRON",0.8929,"","mg/L",0.9
"11/01/2026","10:12:10 p. m.","EXP000198-013",0.1313,"","mg/L",1.6
"11/01/2026","10:12:20 p. m.","EXP000198-014",0.0834,"","mg/L",0.6
"11/01/2026","10:12:30 p. m.","EXP000198-015",0.1806,"","mg/L",0.4
"11/01/2026","10:12:40 p. m.","EXP000198-016",0.1904,"","mg/L",0.4
"11/01/2026","10:12:50 p. m.","EXP000198-017",0.1142,"","mg/L",1.1
"11/01/2026","10:13:00 p. m.","EXP000198-018",0.1164,"","mg/L",0.7
"11/01/2026","10:13:12 p. m.","PATRON",0.8910,"","mg/L",0.6
"11/01/2026","10:13:22 p. m.","EXP000198-019",-0.0006,"","mg/L",">100"
"11/01/2026","10:13:32 p. m.","EXP000198-020",0.2737,"","mg/L",1.5
"11/01/2026","10:13:42 p. m.","EXP000198-021",0.0907,"","mg/L",2.0
"11/01/2026","10:13:52 p. m.","EXP000198-022",0.1166,"","mg/L",1.7
"11/01/2026","10:14:00 p. m.","EXP000198-023",0.0557,"","mg/L",3.2
"11/01/2026","10:14:10 p. m.","EXP000198-024",0.0012,"","mg/L",">100"
"11/01/2026","10:14:12 p. m.","PATRON","","","mg/L",""

"Método: Au AU ALTO (Llama)"

