Analyst,,,,,
Date Started,1/30/2025 12:08 AM  GMT: 1/30/2025 7:08 AM,,,,
Worksheet,LC003619_24,,,,
Comment,,,,,
Methods,"Au,Au",,,,
,,,,,
Method: Au (Flame),,,,,
,,,,,
1/30/2025,12:13:50 AM,PATRON,0.8991,,mg/L
1/30/2025,12:14:16 AM,BLANCO,0.0017,,mg/L
1/30/2025,12:14:34 AM,REAGENT BLANK,0,,mg/L
1/30/2025,12:15:06 AM,LC003619-001,0.2802,,mg/L
1/30/2025,12:15:20 AM,LC003619-002,0.2491,,mg/L
1/30/2025,12:15:34 AM,LC003619-003,0.1915,,mg/L
1/30/2025,12:15:48 AM,LC003619-004,0.1147,,mg/L
1/30/2025,12:16:04 AM,LC003619-005,0.12,,mg/L
1/30/2025,12:16:20 AM,LC003619-006,0.1128,,mg/L
1/30/2025,12:16:38 AM,PATRON,0.8897,,mg/L
1/30/2025,12:16:56 AM,LC003619-007,0.0001,,mg/L
1/30/2025,12:17:10 AM,LC003619-008,0.0816,,mg/L
1/30/2025,12:17:24 AM,LC003619-009,0.0837,,mg/L
1/30/2025,12:17:38 AM,LC003619-010,1.0734,,mg/L
1/30/2025,12:17:56 AM,LC003619-011,0.001,,mg/L
1/30/2025,12:18:08 AM,LC003619-012,0.2182,,mg/L
1/30/2025,12:18:24 AM,PATRON,0.8794,,mg/L
1/30/2025,12:18:40 AM,LC003619-013,0.1251,,mg/L
1/30/2025,12:18:58 AM,LC003619-014,0.0538,,mg/L
1/30/2025,12:19:14 AM,LC003619-015,0.9825,,mg/L
1/30/2025,12:19:30 AM,LC003619-016,0.2806,,mg/L
1/30/2025,12:19:44 AM,LC003619-017,1.119,,mg/L
1/30/2025,12:19:58 AM,LC003619-018,0.2189,,mg/L
1/30/2025,12:31:40 AM,PATRON,0.9064,,mg/L
1/30/2025,12:32:02 AM,LC003619-019,0.3103,,mg/L
1/30/2025,12:32:18 AM,LC003619-020,0.768,,mg/L
1/30/2025,12:32:32 AM,LC003619-021,1.0045,,mg/L
1/30/2025,12:32:44 AM,LC003619-022,0.3259,,mg/L
1/30/2025,12:32:58 AM,LC003619-023,OVER,R,mg/L
1/30/2025,12:33:14 AM,LC003619-024,0.458,,mg/L
1/30/2025,12:33:30 AM,PATRON,0.8863,,mg/L
1/30/2025,12:33:48 AM,BLANCO,-0.0065,,mg/L
1/30/2025,12:33:58 AM,REAGENT BLANK,0,,mg/L
1/30/2025,12:34:10 AM,BLANCO REACTIVO REAG,-0.0101,,mg/L
,,,,,
Method: Au AU ALTO (Flame),,,,,
,,,,,
,,,,,
1/30/2025,12:37:12 AM,LC003619-023,1.9529,,mg/L
