Sample ID,Analyte Name,Reported Conc (Calib)
Comp. Cabeza Columna,Untitled 000,2.769
Cabeza puntual retorno,Untitled 000,2.780
Celda #(F1+F2),Untitled 000,1.474
Puntual Noroeste,Untitled 000,1.199
Tubo 3,Untitled 000,1.214
Comp. Cola Columna,Untitled 000,2.043
Barren,Untitled 000,1.642
Celda # 11-A,Untitled 000,1.687
Celda # 11-B,Untitled 000,1.364
Celda # 11-C,Untitled 000,1.092
Celda #5-9,Untitled 000,0.041
NE Tubo 1,Untitled 000,0.919
NE Tubo 2,Untitled 000,0.865
NE Tubo 4,Untitled 000,1.672
NE Tubo 5,Untitled 000,1.340
NE Tubo 6,Untitled 000,0.250
NE Tubo 7,Untitled 000,1.363
Barren Patios,Untitled 000,1.350
Especial 1,Untitled 000,0.045
Especial 2,Untitled 000,0.026
Especial 3,Untitled 000,0.067
Especial 4,Untitled 000,0.051
Especial 5,Untitled 000,0.035
Columna #1,Untitled 000,2.623
Columna #2,Untitled 000,2.477
Columna #3,Untitled 000,2.278
Columna #4,Untitled 000,2.091
Columna #5,Untitled 000,1.878
