Analista,,,,,,,,,,
Fecha de inicio,24/01/2023 02:46 a. m.  GMT: 24/01/2023 08:46 a. m.,,,,,,,,,
Hoja de trabajo,SA000140-RE_3,,,,,,,,,
Comentario,,,,,,,,,,
Métodos,Au,,,,,,,,,
,,,,,,,,,,
Método: Au EFAA30 (Llama),,,,,,,,,,
,,,,,,,,,,
,CERO CAL,0,,mg/L,30.3,0.0001,-0.0002,0.0002,0.0001,0.0001
,PATRÓN 1,0.5,,mg/L,0.7,0.0151,-0.0006,0.015,0.0151,0.0152
,PATRÓN 2,1,,mg/L,0.5,0.0315,-0.0001,0.0314,0.0317,0.0315
,PATRÓN 3,2,,mg/L,0.7,0.0575,0.0001,0.0576,0.0571,0.0578
,PATRÓN 4,5,,mg/L,0.1,0.1501,-0.0002,0.1503,0.15,0.1499
,PATRÓN 5,10,,mg/L,0.7,0.295,0.0007,0.2928,0.296,0.2964
,PATRON,0.4889,,mg/L,3.2,0.0148,-0.0003,0.0146,0.0145,0.0154
,BLANCO,0.0047,,mg/L,61.3,0.0001,-0.0002,0.0002,0.0002,0.0001
,BLANCO REACTIVO,0,,mg/L,47.9,0.0003,-0.0002,0.0003,0.0001,0.0003
,SA000105-008,0.3934,,mg/L,0.6,0.0509,-0.0002,0.0506,0.0512,0.0507
,SA000105-009,0.0977,,mg/L,2.4,0.0127,0.0001,0.013,0.0124,0.0127
,SA000105-010,0.1274,,mg/L,0.6,0.0166,0,0.0165,0.0166,0.0167
,SA000105-012,0.123,,mg/L,1.7,0.016,-0.0001,0.0163,0.0158,0.0159
,SA000105-013,0.1118,,mg/L,2.9,0.0145,-0.0005,0.0144,0.0142,0.015
,CERO CAL,0,,mg/L,47.4,-0.0007,0.0003,-0.001,-0.0006,-0.0004
,PATRÓN 1,0.5,,mg/L,0.6,0.0145,0,0.0145,0.0146,0.0144
,PATRÓN 2,1,,mg/L,1.6,0.0314,0,0.0308,0.0316,0.0318
,PATRÓN 3,2,,mg/L,1,0.0572,0.0002,0.0565,0.0575,0.0575
,PATRÓN 4,5,,mg/L,0.3,0.1485,0.0003,0.1481,0.1483,0.1491
,PATRÓN 5,10,,mg/L,0.1,0.2904,0.0006,0.2907,0.2902,0.2902
,PATRON,0.5083,,mg/L,3,0.015,-0.0001,0.0155,0.0146,0.0148
,SA000105-014,0.1364,,mg/L,2.3,0.0147,0.0004,0.0149,0.0143,0.0149
,SA000105-016,0.1624,,mg/L,3.2,0.0206,0.0008,0.0204,0.02,0.0213
,SA000105-029,0.2725,,mg/L,2.4,0.0346,0.0008,0.0337,0.0348,0.0353
,SA000105-030,0.3086,,mg/L,0.3,0.0393,0.0007,0.0392,0.0393,0.0394
,SA000105-031,0.1785,,mg/L,0.6,0.0227,0.0005,0.0228,0.0226,0.0226
,CERO CAL,0,,mg/L,>100,0.0002,-0.0002,0.0005,-0.0003,0.0006
