"Analista",""
"Fecha de inicio","04/12/2025 05:07 p. m.  GMT: 05/12/2025 12:07 a. m."
"Hoja de trabajo","EXP000161_24"
"Comentario",""
"Métodos","Au,Au"

"Método: Au (Llama)"

"04/12/2025","05:50:58 p. m.","PATRON",0.9162,"","mg/L",0.7
"04/12/2025","05:51:12 p. m.","BLANCO",0.0022,"","mg/L",65.6
"04/12/2025","05:51:22 p. m.","REAGENT BLANK",0.0000,"","mg/L",51.1
"04/12/2025","05:51:48 p. m.","EXP000161-001",0.1270,"","mg/L",1.3
"04/12/2025","05:52:02 p. m.","EXP000161-002",0.1737,"","mg/L",0.7
"04/12/2025","05:52:16 p. m.","EXP000161-003",0.0535,"","mg/L",1.1
"04/12/2025","05:52:30 p. m.","EXP000161-004",0.0021,"","mg/L",">100"
"04/12/2025","05:52:38 p. m.","EXP000161-005","OVER","R","mg/L",0.0
"04/12/2025","05:52:56 p. m.","EXP000161-006",0.1870,"","mg/L",1.2
"04/12/2025","05:53:08 p. m.","PATRON",0.9081,"","mg/L",0.8
"04/12/2025","05:53:28 p. m.","EXP000161-007",0.2180,"","mg/L",0.4
"04/12/2025","05:53:42 p. m.","EXP000161-008",0.3202,"","mg/L",0.7
"04/12/2025","05:53:58 p. m.","EXP000161-009",0.8518,"","mg/L",0.8
"04/12/2025","05:54:10 p. m.","EXP000161-010",0.2870,"","mg/L",1.3
"04/12/2025","05:54:24 p. m.","EXP000161-011",0.0055,"","mg/L",35.0
"04/12/2025","05:54:36 p. m.","EXP000161-012",1.0212,"","mg/L",0.3
"04/12/2025","05:54:56 p. m.","PATRON",0.9178,"","mg/L",1.1
"04/12/2025","05:55:10 p. m.","EXP000161-013",1.2652,"","mg/L",0.4
"04/12/2025","05:55:26 p. m.","EXP000161-014",0.1806,"","mg/L",0.9
"04/12/2025","05:55:42 p. m.","EXP000161-015",0.1882,"","mg/L",1.3
"04/12/2025","05:55:56 p. m.","EXP000161-016","OVER","R","mg/L",0.0
"04/12/2025","05:56:12 p. m.","EXP000161-017",0.2111,"","mg/L",0.5
"04/12/2025","05:56:30 p. m.","EXP000161-018",0.1126,"","mg/L",1.4
"04/12/2025","05:57:26 p. m.","PATRON",0.9142,"","mg/L",1.0
"04/12/2025","05:57:42 p. m.","EXP000161-019",0.1231,"","mg/L",0.5
"04/12/2025","05:58:04 p. m.","PATRON",0.9029,"","mg/L",1.0
"04/12/2025","05:58:18 p. m.","BLANCO",0.0027,"","mg/L",">100"
"04/12/2025","05:58:28 p. m.","REAGENT BLANK",0.0000,"","mg/L",">100"
"04/12/2025","05:58:40 p. m.","REAGENT BLANK",0.0000,"","mg/L",">100"
"04/12/2025","05:58:40 p. m.","EXP00001-024","","","mg/L",""

"Método: Au AU ALTO (Llama)"


"04/12/2025","06:02:06 p. m.","EXP000161-005",3.1260,"","mg/L",0.7
"04/12/2025","06:02:22 p. m.","EXP000161-016",2.7918,"","mg/L",0.2
"04/12/2025","06:02:22 p. m.","EXP00001-024","","","mg/L",""
