Sample ID,Analyte Name,Reported Conc (Calib)
Comp. Cabeza Columna,Untitled 000,1.998
Comp. Cola Columna,Untitled 000,1.684
Barren,Untitled 000,1.621
Cabeza puntual retorno,Untitled 000,1.964
Celda # 11-A,Untitled 000,0.445
Celda # 11-B,Untitled 000,0.07
Celda # 11-C,Untitled 000,0.068
Celda #5-9,Untitled 000,0.263
Celda #(F1+F2),Untitled 000,2.121
NE Tubo 1,Untitled 000,0.04
NE Tubo 2,Untitled 000,0.177
NE Tubo 4,Untitled 000,4.478
NE Tubo 5,Untitled 000,2.206
NE Tubo 6,Untitled 000,0.439
NE Tubo 7,Untitled 000,2.555
Puntual Noroeste,Untitled 000,2.125
Barren Patios,Untitled 000,1.495
Tubo 3,Untitled 000,1.815
Especial 1,Untitled 000,0.092
Especial 2,Untitled 000,0.037
Especial 3,Untitled 000,0.148
Especial 4,Untitled 000,0.521
Especial 5,Untitled 000,0.061
Especial 6,Untitled 000,0.021
Columna #1,Untitled 000,1.87
Columna #2,Untitled 000,1.849
Columna #3,Untitled 000,1.738
Columna #4,Untitled 000,1.576
Columna #5,Untitled 000,1.496
