Analyst,,,,,,
Date Started,10/17/2025 1:12 AM  GMT: 10/17/2025 8:12 AM,,,,,
Worksheet,LC005583_24,,,,,
Comment,,,,,,
Methods,"Au,Au",,,,,
,,,,,,
Method: Au (Flame),,,,,,
,,,,,,
10/17/2025,2:05:08 AM,PATRON,0.8858,,mg/L,0.9
10/17/2025,2:05:26 AM,BLANCO,0.0043,,mg/L,>100
10/17/2025,2:05:36 AM,REAGENT BLANK,0,,mg/L,44.5
10/17/2025,2:05:48 AM,LC005583-001,0.1359,,mg/L,2.5
10/17/2025,2:06:02 AM,LC005583-002,0.2183,,mg/L,0.2
10/17/2025,2:06:14 AM,LC005583-003,0.0029,,mg/L,62.2
10/17/2025,2:06:26 AM,LC005583-004,0.1881,,mg/L,0.1
10/17/2025,2:06:40 AM,LC005583-005,0.0942,,mg/L,0.4
10/17/2025,2:06:54 AM,LC005583-006,0.0238,,mg/L,9
10/17/2025,2:07:06 AM,PATRON,0.8875,,mg/L,0.1
10/17/2025,2:07:22 AM,LC005583-007,0.0729,,mg/L,0.6
10/17/2025,2:07:34 AM,LC005583-008,0.0318,,mg/L,2.4
10/17/2025,2:07:48 AM,LC005583-009,0.0178,,mg/L,8.3
10/17/2025,2:08:00 AM,LC005583-010,0.0198,,mg/L,8.2
10/17/2025,2:08:12 AM,LC005583-011,0.1451,,mg/L,1.5
10/17/2025,2:08:24 AM,LC005583-012,0.0022,,mg/L,47.9
10/17/2025,2:08:36 AM,PATRON,0.8817,,mg/L,0.6
10/17/2025,2:08:58 AM,LC005583-013,0.1756,,mg/L,0.4
10/17/2025,2:09:14 AM,LC005583-014,0.2089,,mg/L,1.3
10/17/2025,2:09:28 AM,LC005583-015,0.1674,,mg/L,0.8
10/17/2025,2:09:42 AM,LC005583-016,0.0738,,mg/L,2.5
10/17/2025,2:09:54 AM,LC005583-017,0.0828,,mg/L,1.4
10/17/2025,2:10:08 AM,LC005583-018,1.0587,,mg/L,1.6
10/17/2025,2:10:24 AM,PATRON,0.8764,,mg/L,1.9
10/17/2025,2:10:48 AM,PATRON,0.8901,,mg/L,0.8
10/17/2025,2:11:02 AM,BLANCO,-0.0039,,mg/L,41.5
10/17/2025,2:11:12 AM,REAGENT BLANK,0,,mg/L,63.5
,,,,,,
Method: Au AU ALTO (Flame),,,,,,
