Analyst,,,,,,
Date Started,4/9/2025 9:20 PM  GMT: 4/10/2025 4:20 AM,,,,,
Worksheet,LC004197_24,,,,,
Comment,,,,,,
Methods,"Au,Au",,,,,
,,,,,,
Method: Au (Flame),,,,,,
,,,,,,
4/9/2025,9:43:18 PM,PATRON,0.9037,,mg/L,0.9
4/9/2025,9:43:32 PM,BLANCO,0.0179,,mg/L,25.9
4/9/2025,9:43:42 PM,REAGENT BLANK,0,,mg/L,15.3
4/9/2025,9:44:14 PM,LC004197-001,0.0842,,mg/L,0.8
4/9/2025,9:44:28 PM,LC004197-002,0.5351,,mg/L,0.7
4/9/2025,9:44:40 PM,LC004197-003,0.1423,,mg/L,1.3
4/9/2025,9:44:54 PM,LC004197-004,0.9425,,mg/L,0.2
4/9/2025,9:45:10 PM,LC004197-005,0.516,,mg/L,1
4/9/2025,9:45:24 PM,LC004197-006,0.1764,,mg/L,0.7
4/9/2025,9:45:40 PM,PATRON,0.8816,,mg/L,0.3
4/9/2025,9:45:56 PM,LC004197-007,0.1213,,mg/L,1
4/9/2025,9:46:10 PM,LC004197-008,0.3111,,mg/L,0.1
4/9/2025,9:46:26 PM,LC004197-009,0.0745,,mg/L,1.4
4/9/2025,9:46:40 PM,LC004197-010,0.3652,,mg/L,1
4/9/2025,9:46:54 PM,LC004197-011,0.0005,,mg/L,>100
4/9/2025,9:47:06 PM,LC004197-012,0.0522,,mg/L,0.1
4/9/2025,9:47:20 PM,PATRON,0.8815,,mg/L,0.9
4/9/2025,9:47:34 PM,LC004197-013,0.1833,,mg/L,1.6
4/9/2025,9:47:48 PM,LC004197-014,0.1661,,mg/L,1.1
4/9/2025,9:48:02 PM,LC004197-015,0.0024,,mg/L,26
4/9/2025,9:48:14 PM,LC004197-016,0.0054,,mg/L,13.6
4/9/2025,9:48:28 PM,LC004197-017,0.4214,,mg/L,0.6
4/9/2025,9:48:42 PM,LC004197-018,0.1218,,mg/L,0.6
4/9/2025,9:48:54 PM,PATRON,0.8834,,mg/L,1
4/9/2025,9:49:10 PM,LC004197-019,0.0513,,mg/L,3.9
4/9/2025,9:49:22 PM,LC004197-020,0.0964,,mg/L,0.4
4/9/2025,9:49:36 PM,LC004197-021,0.0926,,mg/L,2.2
4/9/2025,9:49:50 PM,LC004197-022,0.0566,,mg/L,2.1
4/9/2025,9:50:04 PM,LC004197-023,0.122,,mg/L,1
4/9/2025,9:50:16 PM,LC004197-024,0.1358,,mg/L,1.9
4/9/2025,9:50:28 PM,PATRON,0.8841,,mg/L,1.1
4/9/2025,9:50:38 PM,PATRON,0.8969,,mg/L,0.5
4/9/2025,9:51:34 PM,BLANCO,0.0038,,mg/L,37.6
4/9/2025,9:51:46 PM,REAGENT BLANK,0,,mg/L,11.5
,,,,,,
Method: Au AU ALTO (Flame),,,,,,
