Analyst,,,,,,
Date Started,4/12/2025 7:25 PM  GMT: 4/13/2025 2:25 AM,,,,,
Worksheet,LC004217_24,,,,,
Comment,,,,,,
Methods,"Au,Au",,,,,
,,,,,,
Method: Au (Flame),,,,,,
,,,,,,
4/12/2025,7:35:02 PM,PATRON,0.9105,,mg/L,0.3
4/12/2025,7:35:18 PM,BLANCO,0.0142,,mg/L,21.4
4/12/2025,7:35:28 PM,REAGENT BLANK,0,,mg/L,18.6
4/12/2025,7:35:52 PM,LC004217-001,0.4931,,mg/L,1.2
4/12/2025,7:36:08 PM,LC004217-002,0.0374,,mg/L,0.8
4/12/2025,7:39:08 PM,LC004217-003,0.9048,,mg/L,0.4
4/12/2025,7:39:28 PM,LC004217-004,0.3932,,mg/L,0.8
4/12/2025,7:39:42 PM,LC004217-005,0.2459,,mg/L,0.8
4/12/2025,7:39:58 PM,LC004217-006,0.1158,,mg/L,1
4/12/2025,7:40:16 PM,PATRON,0.9166,,mg/L,2.5
4/12/2025,7:40:32 PM,LC004217-007,0.4834,,mg/L,0.7
4/12/2025,7:43:14 PM,LC004217-008,0.01,,mg/L,9.6
4/12/2025,7:43:28 PM,LC004217-009,1.2884,,mg/L,0.9
4/12/2025,7:43:46 PM,LC004217-010,OVER,R,mg/L,0
4/12/2025,7:44:06 PM,LC004217-011,0.0527,,mg/L,6
4/12/2025,7:44:28 PM,LC004217-012,0.0616,,mg/L,2.6
4/12/2025,7:44:48 PM,PATRON,0.8825,,mg/L,0.2
4/12/2025,7:45:22 PM,LC004217-013,0.0046,,mg/L,45.7
4/12/2025,7:45:44 PM,LC004217-014,0.0045,,mg/L,4.7
4/12/2025,7:45:58 PM,LC004217-015,0.1338,,mg/L,0.2
4/12/2025,7:46:14 PM,LC004217-016,0.094,,mg/L,1.8
4/12/2025,7:46:28 PM,PATRON,0.8882,,mg/L,1.3
4/12/2025,7:46:44 PM,BLANCO,0.0091,,mg/L,13.3
4/12/2025,7:46:56 PM,REAGENT BLANK,0,,mg/L,8.9
,,,,,,
Method: Au AU ALTO (Flame),,,,,,
,,,,,,
,,,,,,
4/12/2025,7:49:06 PM,PATRON,,,mg/L,
4/12/2025,7:51:08 PM,LC004217-010,3.974,,mg/L,0.8
4/12/2025,7:51:08 PM,LC003738-020,,,mg/L,
