"Analyst",""
"Date Started","9/6/2025 10:57 PM  GMT: 9/7/2025 5:57 AM"
"Worksheet","LC005302"
"Comment",""
"Methods","Au"

"Method: Au ACIDO (Flame)"

"9/6/2025","11:05:44 PM","PATRON",0.8929,"","mg/L",0.1
"9/6/2025","11:05:58 PM","BLANCO",0.0013,"","mg/L",">100"
"9/6/2025","11:06:28 PM","REAGENT BLANK",0.0000,"","mg/L",31.3
"9/6/2025","11:06:46 PM","LC005302-001",0.0829,"","mg/L",1.5
"9/6/2025","11:07:00 PM","LC005302-002",0.0306,"","mg/L",5.7
"9/6/2025","11:07:14 PM","LC005302-003",1.0012,"","mg/L",0.3
"9/6/2025","11:07:32 PM","LC005302-004",0.2861,"","mg/L",0.3
"9/6/2025","11:07:48 PM","LC005302-005",0.3353,"","mg/L",0.5
"9/6/2025","11:08:04 PM","LC005302-006",0.5109,"","mg/L",0.3
"9/6/2025","11:08:18 PM","PATRON",0.8870,"","mg/L",0.3
"9/6/2025","11:08:36 PM","LC005302-007",0.2608,"","mg/L",0.8
"9/6/2025","11:08:50 PM","LC005302-008",0.0625,"","mg/L",1.3
"9/6/2025","11:09:08 PM","LC005302-009",0.0072,"","mg/L",9.6
"9/6/2025","11:09:22 PM","LC005302-010",0.1041,"","mg/L",1.0
"9/6/2025","11:09:36 PM","LC005302-011",0.0058,"","mg/L",15.3
"9/6/2025","11:09:50 PM","LC005302-012",0.0280,"","mg/L",3.1
"9/6/2025","11:11:46 PM","PATRON",0.9031,"","mg/L",0.7
"9/6/2025","11:12:00 PM","LC005302-013",0.1091,"","mg/L",0.5
"9/6/2025","11:12:14 PM","LC005302-014",0.1338,"","mg/L",1.4
"9/6/2025","11:12:44 PM","LC005302-015",-0.0030,"","mg/L",10.4
"9/6/2025","11:12:56 PM","LC005302-016",0.2963,"","mg/L",0.5
"9/6/2025","11:13:10 PM","LC005302-017",0.1942,"","mg/L",0.3
"9/6/2025","11:13:24 PM","LC005302-018",0.0949,"","mg/L",1.7
"9/6/2025","11:13:40 PM","PATRON",0.9031,"","mg/L",0.1
"9/6/2025","11:13:54 PM","LC005302-019",0.1554,"","mg/L",0.3
"9/6/2025","11:15:38 PM","LC005302-020",0.1192,"","mg/L",0.8
"9/6/2025","11:15:52 PM","PATRON",0.8887,"","mg/L",0.2
"9/6/2025","11:16:12 PM","BLANCO",-0.0029,"","mg/L",">100"
"9/6/2025","11:16:34 PM","REAGENT BLANK",0.0000,"","mg/L",">100"
"9/6/2025","11:16:34 PM","PATRON","","","mg/L",""
