Analista,,,,,,
Fecha de inicio,09/11/2025 03:00 a. m.  GMT: 09/11/2025 10:00 a. m.,,,,,
Hoja de trabajo,LC005745_24,,,,,
Comentario,,,,,,
Métodos,"Au,Au",,,,,
,,,,,,
Método: Au (Llama),,,,,,
,,,,,,
09/11/2025,03:32:42 a. m.,PATRON,0.906,,mg/L,0.6
09/11/2025,03:32:56 a. m.,BLANCO,-0.0024,,mg/L,>100
09/11/2025,03:33:08 a. m.,REAGENT BLANK,0,,mg/L,>100
09/11/2025,03:33:34 a. m.,LC005745-001,0.5371,,mg/L,0.3
09/11/2025,03:33:48 a. m.,LC005745-002,0.3206,,mg/L,0.1
09/11/2025,03:34:02 a. m.,LC005745-003,0.0891,,mg/L,0.5
09/11/2025,03:34:16 a. m.,LC005745-004,0.0739,,mg/L,3.7
09/11/2025,03:34:30 a. m.,LC005745-005,0.0832,,mg/L,0.4
09/11/2025,03:34:44 a. m.,LC005745-006,0.0062,,mg/L,25.5
09/11/2025,03:34:58 a. m.,PATRON,0.9066,,mg/L,0.2
09/11/2025,03:35:12 a. m.,LC005745-007,0.1399,,mg/L,0.6
09/11/2025,03:35:20 a. m.,LC005745-008,OVER,R,mg/L,0
09/11/2025,03:35:36 a. m.,LC005745-009,0.0532,,mg/L,1.6
09/11/2025,03:35:52 a. m.,LC005745-010,0.0025,,mg/L,42.5
09/11/2025,03:36:06 a. m.,LC005745-011,0.4545,,mg/L,0.1
09/11/2025,03:36:22 a. m.,PATRON,0.892,,mg/L,0.5
09/11/2025,03:36:36 a. m.,BLANCO,-0.0017,,mg/L,>100
,,,,,,
Método: Au AU ALTO (Llama),,,,,,
,,,,,,
,,,,,,
09/11/2025,03:38:12 a. m.,LC005745-008,3.9701,,mg/L,0.3
