Sample ID,Analyte Name,Reported Conc (Samp)
Comp. Cabeza Columna,Au 242.80,0.119
Comp. Cola Columna,Au 242.80,0.005
Barren,Au 242.80,0.011
Celda # 11-A,Au 242.80,0.064
Celda # 11-C,Au 242.80,0.023
Celda #5-9,Au 242.80,0.039
Celda #(F1+F2),Au 242.80,0.127
NE Tubo 1,Au 242.80,0.007
NE Tubo 2,Au 242.80,0.241
NE Tubo 4,Au 242.80,0.021
NE Tubo 5,Au 242.80,0.029
NE Tubo 6,Au 242.80,0.022
NE Tubo 7,Au 242.80,0.46
Puntual Noroeste,Au 242.80,0.049
Barren Patios,Au 242.80,0.014
Tubo 3,Au 242.80,0.07
Especial 1,Au 242.80,0.256
Especial 2,Au 242.80,0.053
Especial 3,Au 242.80,0.025
Especial 4,Au 242.80,0.014
Especial 5,Au 242.80,0.057
