Analyst,CD,,,,,
Date Started,3/29/2025 12:40 AM  GMT: 3/29/2025 7:40 AM,,,,,
Worksheet,LC004107_24,,,,,
Comment,,,,,,
Methods,"Au,Au",,,,,
,,,,,,
Method: Au (Flame),,,,,,
,,,,,,
3/29/2025,1:05:40 AM,PATRON,0.9055,,mg/L,0.5
3/29/2025,1:05:54 AM,BLANCO,0.0019,,mg/L,41.7
3/29/2025,1:06:04 AM,REAGENT BLANK,0,,mg/L,15.6
3/29/2025,1:06:18 AM,LC004107-001,0.5265,,mg/L,0.7
3/29/2025,1:06:30 AM,LC004107-002,0.0604,,mg/L,0.2
3/29/2025,1:06:42 AM,LC004107-003,0.0001,,mg/L,0.6
3/29/2025,1:06:56 AM,LC004107-004,0.4145,,mg/L,1.1
3/29/2025,1:07:08 AM,LC004107-005,0.0589,,mg/L,0.8
3/29/2025,1:07:20 AM,LC004107-006,0.0589,,mg/L,>100
3/29/2025,1:07:32 AM,PATRON,0.9077,,mg/L,0.5
3/29/2025,1:07:48 AM,LC004107-007,0.0572,,mg/L,0.8
3/29/2025,1:08:00 AM,LC004107-008,0.0016,,mg/L,>100
3/29/2025,1:08:14 AM,LC004107-009,0.1926,,mg/L,1.7
3/29/2025,1:08:26 AM,LC004107-010,0.0553,,mg/L,2.6
3/29/2025,1:08:38 AM,LC004107-011,0.1367,,mg/L,1
3/29/2025,1:08:50 AM,LC004107-012,0.0174,,mg/L,6.9
3/29/2025,1:09:04 AM,PATRON,0.9161,,mg/L,0.5
3/29/2025,1:09:18 AM,LC004107-013,0.2507,,mg/L,0.3
3/29/2025,1:09:30 AM,LC004107-014,0.3907,,mg/L,0.8
3/29/2025,1:09:40 AM,LC004107-015,0.0669,,mg/L,2
3/29/2025,1:09:52 AM,LC004107-016,1.0108,,mg/L,3.5
3/29/2025,1:10:14 AM,PATRON,0.9057,,mg/L,0.6
,,,,,,
Method: Au AU ALTO (Flame),,,,,,
