Analista,,,,,,,,
Fecha de inicio,7/9/2022 1:23 AM  GMT: 7/9/2022 6:23 AM,,,,,,,
Hoja de trabajo,SA000039_6,,,,,,,
Comentario,,,,,,,,
Métodos,Ag,,,,,,,
,,,,,,,,
Método: Ag VHAA-Ag (Llama),,,,,,,,
,,,,,,,,
,PATRON,0.9837,,mg/L,0.1089,0.1141,0.1131,0.0995
,BLANCO,0.0004,,mg/L,0,0.0002,0.0007,-0.0008
,BLANCO REACTIVO,0,,mg/L,0.0025,0.0012,0.0037,0.0026
,SA000039-001,4.6205,,mg/L,0.0211,0.0225,0.0208,0.0199
,SA000039-002,0.0596,,mg/L,0.0003,0.0003,0.0002,0.0003
,SA000039-003,3.3768,,mg/L,0.0154,0.0147,0.0149,0.0165
,SA000039-004,3.36,,mg/L,0.0155,0.0149,0.0153,0.0162
,SA000039-005,1.6566,,mg/L,0.0075,0.0079,0.0073,0.0075
,SA000039-006,1.7911,,mg/L,0.0081,0.0089,0.0077,0.0077
,SA000039-007,5.8391,,mg/L,0.0266,0.0269,0.0265,0.0265
,SA000039-008,-0.0727,,mg/L,-0.0003,-0.0004,-0.0002,-0.0004
,SA000039-009,7.1861,,mg/L,0.0324,0.0328,0.0319,0.0324
,SA000039-010,4.4209,,mg/L,0.0199,0.0202,0.0197,0.0197
,PATRON,1.0184,,mg/L,0.1126,0.1139,0.112,0.112
,BLANCO,-0.0012,,mg/L,-0.0001,-0.0003,-0.0004,0.0003
,BLANCO REACTIVO,0,,mg/L,0.0027,0.0043,0.0022,0.0016
,SA000039-011,2.4934,,mg/L,0.0114,0.0111,0.0113,0.0118
,SA000039-012,4.7694,,mg/L,0.0217,0.023,0.0205,0.0215
,SA000039-013,-0.1077,,mg/L,-0.0005,0.0007,-0.0011,-0.0011
,SA000039-014,3.9242,,mg/L,0.0177,0.0174,0.0178,0.0179
,SA000039-015,4.4453,,mg/L,0.0201,0.0206,0.0203,0.0195
,SA000039-016,24.3952,,mg/L,0.111,0.1104,0.1119,0.1107
,SA000039-017,1.6657,,mg/L,0.0075,0.0067,0.0079,0.0079
,SA000039-018,5.5409,,mg/L,0.0251,0.0243,0.0241,0.0268
,SA000039-019,4.5209,,mg/L,0.0205,0.0209,0.02,0.0206
,SA000039-020,1.8103,,mg/L,0.0082,0.0082,0.0084,0.008
,PATRON,1.0003,,mg/L,0.1107,0.1149,0.114,0.103
,BLANCO,0.0034,,mg/L,0.0004,0.0004,0.0004,0.0003
,BLANCO REACTIVO,0,,mg/L,0.0018,0.0017,0.0022,0.0016
,SA000039-021,1.4829,,mg/L,0.0067,0.0063,0.0069,0.007
,SA000039-022,1.6937,,mg/L,0.0076,0.0076,0.0071,0.0081
,SA000039-023,2.5818,,mg/L,0.0116,0.0116,0.0121,0.0112
,SA000039-024,2.6641,,mg/L,0.0121,0.0121,0.0118,0.0124
,SA000039-025,8.4662,,mg/L,0.0387,0.0391,0.038,0.039
,SA000039-026,3.4861,,mg/L,0.0159,0.0157,0.0157,0.0163
,SA000039-027,6.0475,,mg/L,0.0273,0.0264,0.0283,0.0273
,SA000039-028,3.2091,,mg/L,0.0149,0.0157,0.0144,0.0145
,SA000039-029,3.122,,mg/L,0.0141,0.0141,0.014,0.0141
,SA000039-030,2.3096,,mg/L,0.0105,0.0109,0.0112,0.0093
,PATRON,1.012,,mg/L,0.1119,0.1144,0.1102,0.1113
,BLANCO,0.0091,,mg/L,0.001,0.0013,0.0006,0.0012
,BLANCO REACTIVO,0,,mg/L,0.002,0.0018,0.0027,0.0016
,SA000039-031,15.0451,,mg/L,0.0673,0.0667,0.0682,0.067
,SA000039-032,10.0599,,mg/L,0.0451,0.0451,0.0451,0.0452
,SA000039-033,5.2555,,mg/L,0.0238,0.0239,0.0235,0.0241
,SA000039-034,4.8056,,mg/L,0.022,0.0225,0.0216,0.0218
,SA000039-035,0.0065,,mg/L,0,0.0007,-0.0008,0.0002
,SA000039-036,3.7027,,mg/L,0.0169,0.0169,0.0163,0.0176
,SA000039-037,3.6781,,mg/L,0.0168,0.0184,0.0164,0.0156
,SA000039-038,3.4957,,mg/L,0.0158,0.0164,0.0147,0.0161
,SA000039-039,-0.0909,,mg/L,-0.0004,-0.0006,-0.0002,-0.0004
,SA000039-040,0.1098,,mg/L,0.0005,0.0009,0.0006,0
,PATRON,1.0092,,mg/L,0.1116,0.1124,0.1111,0.1115
,BLANCO,-0.0024,,mg/L,-0.0003,0.0002,-0.0002,-0.0007
,BLANCO REACTIVO,0,,mg/L,0.002,0.0027,0.0004,0.0028
,SA000039-041,3.3707,,mg/L,0.0154,0.0158,0.0151,0.0153
