Analyst,,,,,,
Date Started,10/14/2025 2:26 AM  GMT: 10/14/2025 9:26 AM,,,,,
Worksheet,LC005554_24,,,,,
Comment,,,,,,
Methods,"Au,Au",,,,,
,,,,,,
Method: Au (Flame),,,,,,
,,,,,,
10/14/2025,3:41:38 AM,PATRON,0.8962,,mg/L,0.6
10/14/2025,3:41:48 AM,BLANCO,-0.0106,,mg/L,43.2
10/14/2025,3:41:58 AM,REAGENT BLANK,0,,mg/L,13
10/14/2025,3:42:10 AM,LC005554-001,0.0384,,mg/L,0.5
10/14/2025,3:42:24 AM,LC005554-002,0.0053,,mg/L,17.2
10/14/2025,3:42:38 AM,LC005554-003,0.4806,,mg/L,0.9
10/14/2025,3:42:52 AM,LC005554-004,0.1805,,mg/L,0.9
10/14/2025,3:43:06 AM,LC005554-005,0.1089,,mg/L,2.3
10/14/2025,3:43:20 AM,LC005554-006,0.0744,,mg/L,0.3
10/14/2025,3:43:34 AM,PATRON,0.9111,,mg/L,1.4
10/14/2025,3:43:48 AM,LC005554-007,0.0399,,mg/L,2.2
10/14/2025,3:44:02 AM,LC005554-008,0.0384,,mg/L,4.2
10/14/2025,3:44:18 AM,LC005554-009,0.0511,,mg/L,4.3
10/14/2025,3:44:32 AM,LC005554-010,0.4304,,mg/L,1.5
10/14/2025,3:44:46 AM,LC005554-011,0.0077,,mg/L,1.8
10/14/2025,3:44:58 AM,LC005554-012,0.2664,,mg/L,0.6
10/14/2025,3:45:12 AM,PATRON,0.9029,,mg/L,0.6
10/14/2025,3:45:24 AM,LC005554-013,0.3493,,mg/L,0.7
10/14/2025,3:45:38 AM,LC005554-014,0.0655,,mg/L,3.7
10/14/2025,3:45:50 AM,LC005554-015,0.7673,,mg/L,0.4
10/14/2025,3:46:04 AM,LC005554-016,0.6622,,mg/L,0.5
10/14/2025,3:46:18 AM,LC005554-017,0.1738,,mg/L,0.7
10/14/2025,3:46:32 AM,LC005554-018,0.201,,mg/L,0.7
10/14/2025,3:46:46 AM,PATRON,0.8973,,mg/L,0.3
10/14/2025,3:46:58 AM,LC005554-019,0.2544,,mg/L,0.2
10/14/2025,3:47:10 AM,LC005554-020,0.461,,mg/L,0.6
10/14/2025,3:47:24 AM,LC005554-021,0.058,,mg/L,2.6
10/14/2025,3:47:38 AM,LC005554-022,0.1501,,mg/L,2
10/14/2025,3:47:54 AM,LC005554-023,0.0372,,mg/L,2.2
10/14/2025,3:48:06 AM,LC005554-024,0.0078,,mg/L,9.8
10/14/2025,3:48:22 AM,PATRON,0.8983,,mg/L,1
10/14/2025,3:48:30 AM,PATRON,0.8992,,mg/L,0.6
10/14/2025,3:48:42 AM,BLANCO,0.0005,,mg/L,>100
10/14/2025,3:48:52 AM,REAGENT BLANK,0,,mg/L,31.9
,,,,,,
Method: Au AU ALTO (Flame),,,,,,
