"Analista",""
"Fecha de inicio","8/30/2023 4:39 AM  GMT: 8/30/2023 11:39 AM"
"Hoja de trabajo","LC001092_24"
"Comentario",""
"Métodos","Au,Au"

"Método: Au (Llama)"

"8/30/2023","4:43:26 AM","PATRON",0.8817,"","mg/L"
"8/30/2023","4:43:40 AM","BLANCO",0.0188,"","mg/L"
"8/30/2023","4:43:48 AM","BLANCO REACTIVO REAG",0.0122,"","mg/L"
"8/30/2023","4:44:14 AM","LC001092-001",0.9463,"","mg/L"
"8/30/2023","4:44:26 AM","LC001092-002",0.9961,"","mg/L"
"8/30/2023","4:44:34 AM","LC001092-003","OVER","R","mg/L"
"8/30/2023","4:44:46 AM","LC001092-004",1.2593,"","mg/L"
"8/30/2023","4:45:00 AM","LC001092-005",1.2431,"","mg/L"
"8/30/2023","4:45:08 AM","LC001092-006","OVER","R","mg/L"
"8/30/2023","4:45:24 AM","PATRON",0.8958,"","mg/L"
"8/30/2023","4:45:34 AM","LC001092-007","OVER","R","mg/L"
"8/30/2023","4:45:46 AM","LC001092-008",0.5889,"","mg/L"
"8/30/2023","4:45:58 AM","LC001092-009",0.9466,"","mg/L"
"8/30/2023","4:46:08 AM","LC001092-010",1.4755,"","mg/L"
"8/30/2023","4:46:16 AM","LC001092-011","OVER","R","mg/L"
"8/30/2023","4:46:28 AM","LC001092-012",0.9766,"","mg/L"
"8/30/2023","4:46:42 AM","PATRON",0.8795,"","mg/L"
"8/30/2023","4:46:56 AM","LC001092-013",1.0731,"","mg/L"
"8/30/2023","4:47:10 AM","LC001092-014",0.0137,"","mg/L"
"8/30/2023","4:47:22 AM","LC001092-015",0.7399,"","mg/L"
"8/30/2023","4:47:32 AM","LC001092-016",1.0273,"","mg/L"
"8/30/2023","4:47:44 AM","LC001092-017",0.8485,"","mg/L"
"8/30/2023","4:47:56 AM","LC001092-018",1.0101,"","mg/L"
"8/30/2023","4:48:12 AM","PATRON",0.9029,"","mg/L"
"8/30/2023","4:48:12 AM","PATRON","","","mg/L"

"Método: Au AU ALTO (Llama)"


"8/30/2023","4:54:36 AM","LC001092-003",2.2582,"","mg/L"
"8/30/2023","4:54:48 AM","LC001092-006",2.0779,"","mg/L"
"8/30/2023","4:55:00 AM","LC001092-007",2.4412,"","mg/L"
"8/30/2023","4:55:12 AM","LC001092-011",1.9807,"","mg/L"
"8/30/2023","4:55:12 AM","PATRON","","","mg/L"
