"Analista",""
"Fecha de inicio","16/12/2025 03:49 a. m.  GMT: 16/12/2025 10:49 a. m."
"Hoja de trabajo","LC006009_24"
"Comentario",""
"Métodos","Au,Au"

"Método: Au (Llama)"

"16/12/2025","03:52:20 a. m.","PATRON",1.0729,"","mg/L",0.4
"16/12/2025","03:52:34 a. m.","BLANCO",0.0052,"","mg/L",27.4
"16/12/2025","03:52:44 a. m.","REAGENT BLANK",0.0000,"","mg/L",12.6
"16/12/2025","03:52:54 a. m.","LC006009-001",0.0786,"","mg/L",1.2
"16/12/2025","03:53:04 a. m.","LC006009-002",0.0817,"","mg/L",1.3
"16/12/2025","03:53:14 a. m.","LC006009-003",0.1051,"","mg/L",1.9
"16/12/2025","03:53:24 a. m.","LC006009-004",0.2371,"","mg/L",0.4
"16/12/2025","03:53:32 a. m.","LC006009-005",0.1155,"","mg/L",1.0
"16/12/2025","03:53:44 a. m.","LC006009-006",0.0055,"","mg/L",6.9
"16/12/2025","03:53:54 a. m.","PATRON",1.0606,"","mg/L",0.4
"16/12/2025","03:54:04 a. m.","LC006009-007",0.0894,"","mg/L",0.8
"16/12/2025","03:54:14 a. m.","LC006009-008",0.3647,"","mg/L",1.0
"16/12/2025","03:54:24 a. m.","LC006009-009",0.2317,"","mg/L",0.5
"16/12/2025","03:54:34 a. m.","LC006009-010",0.1128,"","mg/L",0.6
"16/12/2025","03:54:44 a. m.","LC006009-011",0.0013,"","mg/L",">100"
"16/12/2025","03:54:54 a. m.","LC006009-012",0.3077,"","mg/L",0.9
"16/12/2025","03:55:06 a. m.","PATRON",1.0508,"","mg/L",0.4
"16/12/2025","03:55:16 a. m.","LC006009-013",0.3260,"","mg/L",0.7
"16/12/2025","03:55:26 a. m.","LC006009-014",0.2492,"","mg/L",1.0
"16/12/2025","03:55:36 a. m.","LC006009-015",0.0067,"","mg/L",12.4
"16/12/2025","03:55:46 a. m.","LC006009-016",0.0551,"","mg/L",1.0
"16/12/2025","03:55:54 a. m.","LC006009-017",0.2275,"","mg/L",0.3
"16/12/2025","03:56:04 a. m.","LC006009-018",0.1016,"","mg/L",0.7
"16/12/2025","03:56:14 a. m.","PATRON",1.0213,"","mg/L",4.1
"16/12/2025","03:56:26 a. m.","LC006009-019",0.3691,"","mg/L",0.8
"16/12/2025","03:56:36 a. m.","LC006009-020",0.1467,"","mg/L",1.0
"16/12/2025","03:56:46 a. m.","LC006009-021",0.4384,"","mg/L",0.3
"16/12/2025","03:56:46 a. m.","PATRON","","","mg/L",""

"Método: Au AU ALTO (Llama)"

