Analyst,,,,,,
Date Started,5/21/2025 11:29 PM  GMT: 5/22/2025 6:29 AM,,,,,
Worksheet,LC004517_24,,,,,
Comment,,,,,,
Methods,"Au,Au",,,,,
,,,,,,
Method: Au (Flame),,,,,,
,,,,,,
5/21/2025,11:39:16 PM,PATRON,0.9039,,mg/L,1.1
5/21/2025,11:39:28 PM,BLANCO,0.0184,,mg/L,12
5/21/2025,11:39:38 PM,REAGENT BLANK,0,,mg/L,33.7
5/21/2025,11:39:52 PM,LC004517-001,0.0776,,mg/L,3.2
5/21/2025,11:40:08 PM,LC004517-002,0.3168,,mg/L,0.2
5/21/2025,11:40:22 PM,LC004517-003,0.0008,,mg/L,>100
5/21/2025,11:40:36 PM,LC004517-004,0.2104,,mg/L,0.9
5/21/2025,11:40:50 PM,LC004517-005,0.0636,,mg/L,3
5/21/2025,11:41:06 PM,LC004517-006,0.0616,,mg/L,1.2
5/21/2025,11:41:18 PM,PATRON,0.9021,,mg/L,0.6
5/21/2025,11:41:34 PM,LC004517-007,0.0833,,mg/L,1.3
5/21/2025,11:41:48 PM,LC004517-008,0.0034,,mg/L,15.9
5/21/2025,11:42:02 PM,LC004517-009,0.072,,mg/L,2.1
5/21/2025,11:42:16 PM,LC004517-010,0.0707,,mg/L,1.8
5/21/2025,11:42:30 PM,LC004517-011,0.0659,,mg/L,2
5/21/2025,11:42:44 PM,LC004517-012,0.0549,,mg/L,1.8
5/21/2025,11:42:58 PM,PATRON,0.8879,,mg/L,0.5
5/21/2025,11:43:14 PM,LC004517-013,0.1576,,mg/L,0.7
5/21/2025,11:43:28 PM,LC004517-014,0.0692,,mg/L,2.2
5/21/2025,11:43:42 PM,LC004517-015,0.2503,,mg/L,1.2
5/21/2025,11:43:54 PM,LC004517-016,0.0907,,mg/L,2.8
5/21/2025,11:44:08 PM,LC004517-017,0.1074,,mg/L,0.7
5/21/2025,11:44:22 PM,LC004517-018,0.0506,,mg/L,1.6
5/21/2025,11:44:36 PM,PATRON,0.8823,,mg/L,0.1
5/21/2025,11:44:50 PM,LC004517-019,0.0729,,mg/L,1.7
5/21/2025,11:45:20 PM,PATRON,0.882,,mg/L,1.4
5/21/2025,11:46:00 PM,BLANCO,0.0047,,mg/L,67.6
5/21/2025,11:51:04 PM,LC004517-020,0.9157,,mg/L,1.2
5/21/2025,11:51:22 PM,REAGENT BLANK,0,,mg/L,43
,,,,,,
Method: Au AU ALTO (Flame),,,,,,
