Sample ID,Analyte Name,Reported Conc (Calib)
Comp. Cabeza Columna,Untitled 000,0.726
Comp. Cola Columna,Untitled 000,0.51
Barren,Untitled 000,0.425
Cabeza puntual retorno,Untitled 000,0.742
Celda # 11-A,Untitled 000,0.045
Celda # 11-B,Untitled 000,0.035
Celda # 11-C,Untitled 000,0.059
Celda # 6-F2,Untitled 000,0.435
Celda #5-9,Untitled 000,2.484
Celda #(F1+F2),Untitled 000,0.68
NE Tubo 1,Untitled 000,0.03
NE Tubo 2,Untitled 000,0.4
NE Tubo 4,Untitled 000,1.537
NE Tubo 5,Untitled 000,0.857
NE Tubo 6,Untitled 000,0.122
NE Tubo 7,Untitled 000,0.392
Puntual Noroeste,Untitled 000,0.639
Barren Patios,Untitled 000,0.452
Tubo 3,Untitled 000,0.419
Especial 1,Untitled 000,0.292
Especial 2,Untitled 000,0.224
Especial 3,Untitled 000,0.055
Especial 4,Untitled 000,0.055
Especial 5,Untitled 000,0.518
Especial 6,Untitled 000,0.028
