Analyst,,,,,,
Date Started,8/17/2025 10:40 PM  GMT: 8/18/2025 5:40 AM,,,,,
Worksheet,LC005176_24,,,,,
Comment,,,,,,
Methods,"Au,Au",,,,,
,,,,,,
Method: Au (Flame),,,,,,
,,,,,,
8/17/2025,11:32:06 PM,PATRON,0.9043,,mg/L,2.4
8/17/2025,11:32:26 PM,BLANCO,0.0258,,mg/L,20
8/17/2025,11:32:36 PM,REAGENT BLANK,0,,mg/L,93.5
8/17/2025,11:32:48 PM,LC005176-001,0.1203,,mg/L,5.7
8/17/2025,11:32:58 PM,LC005176-002,-0.0021,,mg/L,>100
8/17/2025,11:33:08 PM,LC005176-003,0.0654,,mg/L,2.5
8/17/2025,11:33:18 PM,LC005176-004,0.2021,,mg/L,2
8/17/2025,11:33:28 PM,LC005176-005,0.0082,,mg/L,5.5
8/17/2025,11:33:40 PM,LC005176-006,0.1625,,mg/L,1.3
8/17/2025,11:33:50 PM,PATRON,0.8999,,mg/L,0.4
8/17/2025,11:34:02 PM,LC005176-007,0.1063,,mg/L,2
8/17/2025,11:34:12 PM,LC005176-008,0.1931,,mg/L,0.8
8/17/2025,11:34:24 PM,LC005176-009,0.3573,,mg/L,0.7
8/17/2025,11:34:32 PM,LC005176-010,0.24,,mg/L,1.2
8/17/2025,11:34:44 PM,LC005176-011,0.1485,,mg/L,1.7
8/17/2025,11:34:50 PM,LC005176-012,OVER,R,mg/L,0
8/17/2025,11:38:18 PM,PATRON,0.8959,,mg/L,2.2
8/17/2025,11:38:38 PM,LC005176-013,0.1144,,mg/L,4.4
8/17/2025,11:38:46 PM,LC005176-014,0.2743,,mg/L,1.7
8/17/2025,11:38:58 PM,LC005176-015,0.0809,,mg/L,1
8/17/2025,11:39:08 PM,LC005176-016,0.141,,mg/L,2.2
8/17/2025,11:39:28 PM,LC005176-018,0.867,,mg/L,0.9
8/17/2025,11:39:40 PM,PATRON,0.9156,,mg/L,1.3
8/17/2025,11:39:52 PM,LC005176-019,0.1244,,mg/L,2.2
8/17/2025,11:40:24 PM,LC005176-017,0.8318,,mg/L,2.7
8/17/2025,11:40:54 PM,LC005176-020,0.4526,,mg/L,0.6
8/17/2025,11:40:54 PM,PATRON,,,mg/L,
,,,,,,
Method: Au AU ALTO (Flame),,,,,,
,,,,,,
,,,,,,
8/17/2025,11:43:02 PM,LC005176-012,3.8574,,mg/L,1.2
8/17/2025,11:43:02 PM,PATRON,,,mg/L,
