Analyst,,,,,,
Date Started,4/2/2025 10:38 PM  GMT: 4/3/2025 5:38 AM,,,,,
Worksheet,LC004136_24,,,,,
Comment,,,,,,
Methods,"Au,Au",,,,,
,,,,,,
Method: Au (Flame),,,,,,
,,,,,,
4/2/2025,11:00:28 PM,REAGENT BLANK,0,,mg/L,11.9
4/2/2025,11:01:12 PM,LC004136-001,0.1531,,mg/L,1.2
4/2/2025,11:01:26 PM,LC004136-002,0.2129,,mg/L,0.4
4/2/2025,11:01:40 PM,LC004136-003,0.2158,,mg/L,1.3
4/2/2025,11:01:54 PM,LC004136-004,0.1785,,mg/L,1.1
4/2/2025,11:02:08 PM,LC004136-005,0.7047,,mg/L,1
4/2/2025,11:02:22 PM,LC004136-006,0.2687,,mg/L,0.5
4/2/2025,11:02:36 PM,PATRON,0.9086,,mg/L,0.9
4/2/2025,11:02:52 PM,LC004136-007,0.084,,mg/L,2.1
4/2/2025,11:03:06 PM,LC004136-008,0.1238,,mg/L,0.3
4/2/2025,11:03:22 PM,LC004136-009,0.4654,,mg/L,1.5
4/2/2025,11:03:36 PM,LC004136-010,0.0086,,mg/L,3.5
4/2/2025,11:03:50 PM,LC004136-011,0.576,,mg/L,0.4
4/2/2025,11:04:06 PM,LC004136-012,0.0075,,mg/L,19.3
4/2/2025,11:04:20 PM,PATRON,0.9045,,mg/L,0.5
4/2/2025,11:04:32 PM,LC004136-013,0.1563,,mg/L,0.6
4/2/2025,11:04:48 PM,LC004136-014,0.0681,,mg/L,2.2
4/2/2025,11:05:02 PM,LC004136-015,0.0432,,mg/L,5.1
4/2/2025,11:05:16 PM,LC004136-016,0.1507,,mg/L,1.2
4/2/2025,11:05:32 PM,LC004136-017,0.0743,,mg/L,0.9
4/2/2025,11:05:48 PM,LC004136-018,0.0814,,mg/L,0.9
4/2/2025,11:06:02 PM,PATRON,0.9012,,mg/L,0.5
4/2/2025,11:06:24 PM,LC004136-019,0.0112,,mg/L,5.1
4/2/2025,11:06:38 PM,LC004136-020,0.1431,,mg/L,0.3
4/2/2025,11:06:52 PM,LC004136-021,0.1652,,mg/L,1.2
4/2/2025,11:07:08 PM,LC004136-022,0.133,,mg/L,0.8
4/2/2025,11:07:22 PM,LC004136-023,0.0902,,mg/L,1.1
4/2/2025,11:07:36 PM,PATRON,0.9007,,mg/L,0.6
4/2/2025,11:10:44 PM,PATRON,0.9161,,mg/L,0.5
4/2/2025,11:10:54 PM,BLANCO,0.0085,,mg/L,24.4
4/2/2025,11:11:04 PM,BLANCO,0.0081,,mg/L,58
4/2/2025,11:11:14 PM,REAGENT BLANK,0,,mg/L,>100
,,,,,,
Method: Au AU ALTO (Flame),,,,,,
