Analista,,,,,,
Fecha de inicio,30/11/2025 02:00 a. m.  GMT: 30/11/2025 09:00 a. m.,,,,,
Hoja de trabajo,LC005899_24,,,,,
Comentario,,,,,,
Métodos,"Au,Au",,,,,
,,,,,,
Método: Au (Llama),,,,,,
,,,,,,
30/11/2025,02:39:58 a. m.,PATRON,0.9083,,mg/L,1.2
30/11/2025,02:40:10 a. m.,BLANCO,0.0056,,mg/L,85
30/11/2025,02:40:18 a. m.,REAGENT BLANK,0,,mg/L,95.4
30/11/2025,02:40:34 a. m.,LC005899-001,0.1099,,mg/L,0.4
30/11/2025,02:40:50 a. m.,LC005899-002,0.1781,,mg/L,0.5
30/11/2025,02:41:02 a. m.,LC005899-003,0.0843,,mg/L,1
30/11/2025,02:41:16 a. m.,LC005899-004,0.1844,,mg/L,0.6
30/11/2025,02:41:30 a. m.,LC005899-005,0.0599,,mg/L,0.9
30/11/2025,02:41:42 a. m.,LC005899-006,0.0786,,mg/L,1.1
30/11/2025,02:41:56 a. m.,PATRON,0.9105,,mg/L,1.2
30/11/2025,02:42:14 a. m.,LC005899-007,0.0795,,mg/L,0.8
30/11/2025,02:42:28 a. m.,LC005899-008,0.0027,,mg/L,46.3
30/11/2025,02:42:42 a. m.,LC005899-009,0.0081,,mg/L,22.8
30/11/2025,02:42:54 a. m.,LC005899-010,0.1086,,mg/L,0.7
30/11/2025,02:43:36 a. m.,PATRON,0.9051,,mg/L,0.9
30/11/2025,02:43:52 a. m.,LC005899-013,0.1121,,mg/L,1.9
30/11/2025,02:44:06 a. m.,PATRON,0.9095,,mg/L,0.4
30/11/2025,02:44:20 a. m.,BLANCO,0.0032,,mg/L,>100
30/11/2025,02:44:30 a. m.,REAGENT BLANK,0,,mg/L,50.4
30/11/2025,02:49:34 a. m.,LC005899-012,0.0674,,mg/L,1.8
30/11/2025,02:50:04 a. m.,LC005899-011,0.0651,,mg/L,2.6
,,,,,,
Método: Au AU ALTO (Llama),,,,,,
