Sample ID,Analyte Name,Reported Conc (Samp)
Comp. Cabeza Columna,Untitled 000,3.264
Comp. Cola Columna,Untitled 000,1.645
Barren,Untitled 000,1.775
Cabeza puntual retorno,Untitled 000,2.998
Columna #1,Untitled 000,3
Columna #2,Untitled 000,2.867
Columna #3,Untitled 000,2.654
Columna #4,Untitled 000,2.277
Columna #5,Untitled 000,1.547
Celda # 11-A,Untitled 000,1.478
Celda # 11-B,Untitled 000,7.969
Celda # 11-C,Untitled 000,6.898
Celda #5-9,Untitled 000,0.108
Celda #(F1+F2),Untitled 000,1.726
NE Tubo 1,Untitled 000,3.917
NE Tubo 2,Untitled 000,0.672
NE Tubo 4,Untitled 000,1.834
NE Tubo 5,Untitled 000,1.05
NE Tubo 6,Untitled 000,0.366
NE Tubo 7,Untitled 000,2.042
Puntual Noroeste,Untitled 000,1.615
Barren Patios,Untitled 000,1.764
Tubo 3,Untitled 000,2.259
Especial 1,Untitled 000,0.084
Especial 2,Untitled 000,0.101
Especial 3,Untitled 000,0.151
Especial 4,Untitled 000,0.111
Especial 5,Untitled 000,0.079
