Sample ID,Analyte Name,Reported Conc (Calib)
Comp. Cabeza Columna,Au 242.80,0.1
Cabeza puntual retorno,Au 242.80,0.099
Celda #(F1+F2),Au 242.80,0.121
NE Tubo 6,Au 242.80,0.278
Puntual Noroeste,Au 242.80,0.115
Especial 1,Au 242.80,0.072
Especial 2,Au 242.80,0.1
Especial 3,Au 242.80,0.03
Especial 4,Au 242.80,0.033
Especial 5,Au 242.80,0.095
Comp. Cola Columna,Au 242.80,0.006
Barren,Au 242.80,0.009
Celda # 11-A,Au 242.80,0.011
Celda # 11-B,Au 242.80,0.007
Celda # 11-C,Au 242.80,0.021
Celda # 6-F2,Au 242.80,0.038
Celda #5-9,Au 242.80,0.04
NE Tubo 1,Au 242.80,0.004
NE Tubo 2,Au 242.80,0.097
NE Tubo 4,Au 242.80,0.038
NE Tubo 5,Au 242.80,0.034
NE Tubo 7,Au 242.80,0.064
Barren Patios,Au 242.80,0.007
Tubo 3,Au 242.80,0.11
