Sample ID,Analyte Name,Reported Conc (Calib)
Comp. Cabeza Columna,Untitled 000,0.907
Comp. Cola Columna,Untitled 000,0.551
Barren,Untitled 000,0.553
Cabeza puntual retorno,Untitled 000,0.881
Celda # 11-A,Untitled 000,1.729
Celda # 11-B,Untitled 000,0.07
Celda # 11-C,Untitled 000,0.052
Celda #5-9,Untitled 000,0.04
Celda #(F1+F2),Untitled 000,0.792
NE Tubo 1,Untitled 000,0.035
NE Tubo 2,Untitled 000,0.305
NE Tubo 4,Untitled 000,0.261
NE Tubo 5,Untitled 000,0.156
NE Tubo 6,Untitled 000,0.335
NE Tubo 7,Untitled 000,0.264
Puntual Noroeste,Untitled 000,0.818
Barren Patios,Untitled 000,0.508
Tubo 3,Untitled 000,2.243
Especial 1,Untitled 000,0.096
Especial 2,Untitled 000,0.074
Especial 3,Untitled 000,3.082
Especial 4,Untitled 000,2.869
Especial 5,Untitled 000,0.081
Columna #1,Untitled 000,0.821
Columna #2,Untitled 000,0.792
Columna #3,Untitled 000,0.731
Columna #4,Untitled 000,0.658
Columna #5,Untitled 000,0.482
