Sample ID,Analyte Name,Reported Conc (Calib)
Comp. Cabeza Columna,Untitled 000,1.241
Comp. Cola Columna,Untitled 000,0.670
Barren,Untitled 000,0.648
Cabeza puntual retorno,Untitled 000,1.250
Columna #1,Untitled 000,1.212
Columna #2,Untitled 000,1.090
Columna #3,Untitled 000,0.989
Columna #4,Untitled 000,0.890
Columna #5,Untitled 000,0.759
Celda # 11-A,Untitled 000,0.865
Celda # 11-B,Untitled 000,0.075
Celda # 11-C,Untitled 000,0.027
Celda #5-9,Untitled 000,3.780
Celda #(F1+F2),Untitled 000,0.354
NE Tubo 1,Untitled 000,0.029
NE Tubo 2,Untitled 000,0.083
NE Tubo 4,Untitled 000,0.264
NE Tubo 5,Untitled 000,0.097
NE Tubo 6,Untitled 000,0.748
NE Tubo 7,Untitled 000,0.157
Puntual Noroeste,Untitled 000,0.326
Barren Patios,Untitled 000,0.574
Tubo 3,Untitled 000,0.380
Especial 1,Untitled 000,3.736
Especial 2,Untitled 000,1.002
Especial 3,Untitled 000,1.343
Especial 4,Untitled 000,2.228
Especial 5,Untitled 000,3.443
Especial 6,Untitled 000,0.071
