Analyst,,,,,,
Date Started,10/19/2025 1:18 AM  GMT: 10/19/2025 8:18 AM,,,,,
Worksheet,LC005595_24,,,,,
Comment,,,,,,
Methods,"Au,Au",,,,,
,,,,,,
Method: Au (Flame),,,,,,
,,,,,,
10/19/2025,2:02:26 AM,PATRON,0.9087,,mg/L,0.2
10/19/2025,2:02:40 AM,BLANCO,-0.006,,mg/L,>100
10/19/2025,2:02:54 AM,REAGENT BLANK,0,,mg/L,91.5
10/19/2025,2:03:12 AM,LC005595-001,0.0324,,mg/L,1.7
10/19/2025,2:03:24 AM,LC005595-002,0.0227,,mg/L,3.4
10/19/2025,2:03:38 AM,LC005595-003,0.0576,,mg/L,2.7
10/19/2025,2:03:52 AM,LC005595-004,0.016,,mg/L,15.3
10/19/2025,2:04:06 AM,LC005595-005,0.0288,,mg/L,9.6
10/19/2025,2:04:18 AM,LC005595-006,0.0785,,mg/L,2
10/19/2025,2:06:16 AM,PATRON,0.9027,,mg/L,0.3
10/19/2025,2:07:10 AM,LC005595-007,0.0415,,mg/L,4.9
10/19/2025,2:07:22 AM,LC005595-008,0.0212,,mg/L,8.2
10/19/2025,2:07:36 AM,LC005595-009,0.0012,,mg/L,>100
10/19/2025,2:07:50 AM,LC005595-010,0.0862,,mg/L,3.2
10/19/2025,2:08:04 AM,LC005595-011,0.2115,,mg/L,0.2
10/19/2025,2:08:18 AM,LC005595-012,0.0967,,mg/L,1.4
10/19/2025,2:08:34 AM,PATRON,0.8863,,mg/L,0.6
10/19/2025,2:08:50 AM,LC005595-013,0.0804,,mg/L,0.8
10/19/2025,2:09:04 AM,LC005595-014,0.0848,,mg/L,1.5
10/19/2025,2:09:20 AM,LC005595-015,0.0418,,mg/L,1
10/19/2025,2:09:34 AM,LC005595-016,0.0673,,mg/L,1.4
10/19/2025,2:09:46 AM,LC005595-017,0.082,,mg/L,2.6
10/19/2025,2:10:00 AM,LC005595-018,0.1334,,mg/L,1.7
10/19/2025,2:10:14 AM,PATRON,0.8993,,mg/L,0.8
10/19/2025,2:10:36 AM,LC005595-019,0.1148,,mg/L,0.8
10/19/2025,2:10:50 AM,LC005595-020,0.0008,,mg/L,>100
10/19/2025,2:11:04 AM,LC005595-021,0.0932,,mg/L,2.2
10/19/2025,2:11:18 AM,LC005595-022,0.0144,,mg/L,15.2
10/19/2025,2:11:32 AM,LC005595-023,0.004,,mg/L,45.9
10/19/2025,2:11:46 AM,LC005595-024,1.0419,,mg/L,0.8
10/19/2025,2:12:00 AM,PATRON,0.8863,,mg/L,0.8
10/19/2025,2:12:10 AM,PATRON,0.887,,mg/L,0.7
10/19/2025,2:12:22 AM,BLANCO,0.0023,,mg/L,44.6
10/19/2025,2:12:32 AM,REAGENT BLANK,0,,mg/L,>100
,,,,,,
Method: Au AU ALTO (Flame),,,,,,
