Sample ID,Analyte Name,Reported Conc (Samp)
Comp. Cabeza Columna,Untitled 000,3.258
Comp. Cola Columna,Untitled 000,2.108
Barren,Untitled 000,2.041
Cabeza puntual retorno,Untitled 000,3.271
Celda # 11-A,Untitled 000,2.760
Celda # 11-B,Untitled 000,6.913
Celda # 11-C,Untitled 000,0.744
Celda # 6-F2,Untitled 000,0.076
Celda #5-9,Untitled 000,0.018
Celda #(F1+F2),Untitled 000,1.206
NE Tubo 1,Untitled 000,1.090
NE Tubo 2,Untitled 000,0.915
NE Tubo 4,Untitled 000,1.826
NE Tubo 5,Untitled 000,1.506
NE Tubo 6,Untitled 000,0.304
NE Tubo 7,Untitled 000,1.591
Puntual Noroeste,Untitled 000,1.274
Tubo 3,Untitled 000,1.175
Especial 1,Untitled 000,0.041
Especial 2,Untitled 000,0.043
Especial 3,Untitled 000,0.053
Especial 4,Untitled 000,0.057
Especial 5,Untitled 000,0.033
