"Analista",""
"Fecha de inicio","02/12/2025 09:17 a. m.  GMT: 02/12/2025 04:17 p. m."
"Hoja de trabajo","EXP000157_24"
"Comentario",""
"Métodos","Au,Au"

"Método: Au (Llama)"

"02/12/2025","09:32:02 a. m.","PATRON",0.8935,"","mg/L",0.9
"02/12/2025","09:32:12 a. m.","BLANCO",-0.0003,"","mg/L",">100"
"02/12/2025","09:32:22 a. m.","REAGENT BLANK",0.0000,"","mg/L",21.2
"02/12/2025","09:32:36 a. m.","EXP000157-001",1.6519,"","mg/L",0.9
"02/12/2025","09:32:46 a. m.","EXP000157-002",0.6663,"","mg/L",2.7
"02/12/2025","09:32:56 a. m.","EXP000157-003",0.0056,"","mg/L",">100"
"02/12/2025","09:33:14 a. m.","EXP000157-005",0.2353,"","mg/L",1.4
"02/12/2025","09:33:26 a. m.","EXP000157-006",0.1368,"","mg/L",2.6
"02/12/2025","09:33:36 a. m.","PATRON",0.9019,"","mg/L",0.7
"02/12/2025","09:33:50 a. m.","EXP000157-007",1.1345,"","mg/L",0.4
"02/12/2025","09:34:00 a. m.","EXP000157-008",0.1068,"","mg/L",8.4
"02/12/2025","09:34:06 a. m.","EXP000157-009","OVER","R","mg/L",0.0
"02/12/2025","09:34:18 a. m.","EXP000157-010",0.3374,"","mg/L",4.9
"02/12/2025","09:34:28 a. m.","EXP000157-011",0.1830,"","mg/L",2.8
"02/12/2025","09:34:38 a. m.","EXP000157-012",0.5826,"","mg/L",0.4
"02/12/2025","09:35:00 a. m.","EXP000157-004",0.2309,"","mg/L",0.4
"02/12/2025","09:35:14 a. m.","PATRON",0.8918,"","mg/L",0.3
"02/12/2025","09:35:26 a. m.","EXP000157-013",0.6127,"","mg/L",1.2
"02/12/2025","09:35:36 a. m.","EXP000157-014",0.1160,"","mg/L",3.2
"02/12/2025","09:35:46 a. m.","EXP000157-015",0.2381,"","mg/L",1.0
"02/12/2025","09:35:56 a. m.","EXP000157-016",-0.0027,"","mg/L",">100"
"02/12/2025","09:36:06 a. m.","EXP000157-017",0.1389,"","mg/L",1.8
"02/12/2025","09:36:16 a. m.","EXP000157-018",0.4407,"","mg/L",0.6
"02/12/2025","09:36:16 a. m.","PATRON","","","mg/L",""

"Método: Au AU ALTO (Llama)"


"02/12/2025","09:38:02 a. m.","EXP000157-009",1.9646,"","mg/L",1.5
"02/12/2025","09:38:02 a. m.","EXP000157-010","","","mg/L",""
