Sample ID,Analyte Name,Reported Conc (Samp)
Comp. Cabeza Columna,Untitled 000,1.525
Comp. Cola Columna,Untitled 000,1.219
Barren,Untitled 000,1.169
Cabeza puntual retorno,Untitled 000,1.455
Celda # 11-A,Untitled 000,0.068
Celda # 11-B,Untitled 000,0.038
Celda # 11-C,Untitled 000,0.019
Celda # 6-F2,Untitled 000,0.02
Celda #5-9,Untitled 000,3.637
Celda #(F1+F2),Untitled 000,1.184
NE Tubo 1,Untitled 000,0.072
NE Tubo 2,Untitled 000,0.036
NE Tubo 4,Untitled 000,0.036
NE Tubo 5,Untitled 000,0.065
NE Tubo 6,Untitled 000,0.02
NE Tubo 7,Untitled 000,0.306
Puntual Noroeste,Untitled 000,1.17
Barren Patios,Untitled 000,1.097
Tubo 3,Untitled 000,1.615
Especial 1,Untitled 000,2.481
Especial 2,Untitled 000,2.452
Especial 3,Untitled 000,0.125
Especial 4,Untitled 000,0.024
Especial 5,Untitled 000,2.722
