Sample ID,Analyte Name,Reported Conc (Calib)
Comp. Cabeza Columna,Untitled 000,1.136
Comp. Cola Columna,Untitled 000,1.017
Barren,Untitled 000,0.869
Cabeza puntual retorno,Untitled 000,1.115
Celda # 11-A,Untitled 000,0.033
Celda # 11-B,Untitled 000,0.022
Celda # 11-C,Untitled 000,0.109
Celda #5-9,Untitled 000,0.054
Celda #(F1+F2),Untitled 000,0.886
NE Tubo 1,Untitled 000,0.01
NE Tubo 2,Untitled 000,0.181
NE Tubo 4,Untitled 000,2.257
NE Tubo 5,Untitled 000,1.258
NE Tubo 6,Untitled 000,0.075
NE Tubo 7,Untitled 000,1.022
Puntual Noroeste,Untitled 000,0.901
Barren Patios,Untitled 000,0.672
Tubo 3,Untitled 000,0.66
Especial 1,Untitled 000,0.021
Especial 2,Untitled 000,0.018
Especial 3,Untitled 000,0.047
Especial 4,Untitled 000,0.055
Especial 5,Untitled 000,0.039
Especial 6,Untitled 000,0.016
Columna #1,Untitled 000,1.053
Columna #2,Untitled 000,1.04
Columna #3,Untitled 000,1.068
Columna #4,Untitled 000,1.027
Columna #5,Untitled 000,0.904
