Sample ID,Analyte Name,Reported Conc (Calib)
Comp. Cabeza Columna,Untitled 000,0.391
Comp. Cola Columna,Untitled 000,0.333
Barren,Untitled 000,0.279
Cabeza puntual retorno,Untitled 000,0.398
Celda # 11-A,Untitled 000,0.079
Celda # 11-B,Untitled 000,0.061
Celda # 11-C,Untitled 000,0.071
Celda # 6-F2,Untitled 000,0.405
Celda #5-9,Untitled 000,0.218
Celda #(F1+F2),Untitled 000,0.401
NE Tubo 1,Untitled 000,0.033
NE Tubo 2,Untitled 000,0.477
NE Tubo 4,Untitled 000,0.258
NE Tubo 5,Untitled 000,0.066
NE Tubo 6,Untitled 000,0.081
NE Tubo 7,Untitled 000,0.132
Puntual Noroeste,Untitled 000,0.338
Barren Patios,Untitled 000,0.278
Tubo 3,Untitled 000,0.668
Especial 1,Untitled 000,0.046
Especial 2,Untitled 000,0.034
Especial 3,Untitled 000,0.06
Especial 4,Untitled 000,0.112
Especial 5,Untitled 000,0.051
Especial 6,Untitled 000,0.022
