Analyst,,,,,,
Date Started,7/14/2025 5:35 AM  GMT: 7/14/2025 12:35 PM,,,,,
Worksheet,LC004948_24,,,,,
Comment,,,,,,
Methods,"Au,Au",,,,,
,,,,,,
Method: Au (Flame),,,,,,
,,,,,,
7/14/2025,5:42:22 AM,PATRON,0.9037,,mg/L,1.2
7/14/2025,5:42:36 AM,BLANCO,-0.0055,,mg/L,>100
7/14/2025,5:42:46 AM,REAGENT BLANK,0,,mg/L,35.3
7/14/2025,5:42:58 AM,LC004948-001,0.3003,,mg/L,1.8
7/14/2025,5:43:12 AM,LC004948-002,0.2041,,mg/L,0.8
7/14/2025,5:43:40 AM,LC004948-004,0.1002,,mg/L,2.6
7/14/2025,5:44:18 AM,LC004948-006,0.1242,,mg/L,1.6
7/14/2025,5:44:42 AM,PATRON,0.9121,,mg/L,1
7/14/2025,5:44:58 AM,LC004948-007,0.096,,mg/L,3
7/14/2025,5:45:10 AM,LC004948-008,0.1131,,mg/L,1.8
7/14/2025,5:45:24 AM,LC004948-009,0.2693,,mg/L,0.3
7/14/2025,5:45:38 AM,LC004948-010,1.2345,,mg/L,0.1
7/14/2025,5:45:50 AM,LC004948-011,0.1957,,mg/L,0.5
7/14/2025,5:46:04 AM,LC004948-012,0.0561,,mg/L,4.6
7/14/2025,5:46:18 AM,PATRON,0.9205,,mg/L,0.3
7/14/2025,5:46:44 AM,LC004948-014,0.0867,,mg/L,1.1
7/14/2025,5:47:00 AM,LC004948-016,0.0348,,mg/L,6.1
7/14/2025,5:47:14 AM,LC004948-017,0.0405,,mg/L,9.5
7/14/2025,5:47:26 AM,LC004948-018,0.1037,,mg/L,2
7/14/2025,5:48:42 AM,LC004948-013,-0.0001,,mg/L,>100
7/14/2025,5:51:00 AM,PATRON,0.9233,,mg/L,2.1
7/14/2025,5:51:18 AM,LC004948-019,0.3237,,mg/L,1.8
7/14/2025,5:51:30 AM,LC004948-020,0.3505,,mg/L,1.5
7/14/2025,5:51:44 AM,LC004948-021,0.2784,,mg/L,0.9
7/14/2025,5:52:10 AM,LC004948-023,0.1204,,mg/L,1.4
7/14/2025,5:52:22 AM,PATRON,0.9029,,mg/L,13.3
7/14/2025,5:53:52 AM,LC004948-022,0.0053,,mg/L,45.7
7/14/2025,5:54:02 AM,BLANCO,0.0131,,mg/L,52.6
7/14/2025,5:54:10 AM,REAGENT BLANK,0,,mg/L,48.8
7/14/2025,5:55:58 AM,LC004948-003,0.2114,,mg/L,1.6
7/14/2025,5:56:30 AM,LC004948-005,0.1266,,mg/L,2.5
,,,,,,
Method: Au AU ALTO (Flame),,,,,,
