Sample ID,Analyte Name,Reported Conc (Samp)
Comp. Cabeza Columna,Untitled 000,0.229
Cabeza puntual retorno,Untitled 000,0.199
Celda #(F1+F2),Untitled 000,0.212
Puntual Noroeste,Untitled 000,0.116
Tubo 3,Untitled 000,0.199
NE Tubo 2,Untitled 000,0.03
NE Tubo 4,Untitled 000,0.046
Especial 1,Untitled 000,0.101
Especial 2,Untitled 000,0.192
Especial 3,Untitled 000,0.033
Especial 4,Untitled 000,0.033
Especial 5,Untitled 000,0.719
Columna #1,Untitled 000,0.207
Columna #2,Untitled 000,0.206
Columna #3,Untitled 000,0.199
Columna #4,Untitled 000,0.182
Columna #5,Untitled 000,0.159
Comp. Cola Columna,Untitled 000,0.163
Barren,Untitled 000,0.16
Barren Patios,Untitled 000,0.158
NE Tubo 1,Untitled 000,0.02
NE Tubo 5,Untitled 000,0.021
NE Tubo 6,Untitled 000,0.023
NE Tubo 7,Untitled 000,0.064
Celda # 11-A,Untitled 000,0.062
Celda # 11-B,Untitled 000,0.164
Celda # 11-C,Untitled 000,0.482
Celda #5-9,Untitled 000,0.136
