Analyst,,,,,,
Date Started,6/26/2025 8:33 AM  GMT: 6/26/2025 3:33 PM,,,,,
Worksheet,LC004808_24,,,,,
Comment,,,,,,
Methods,"Au,Au",,,,,
,,,,,,
Method: Au (Flame),,,,,,
,,,,,,
6/26/2025,8:54:06 AM,PATRON,0.8985,,mg/L,1.4
6/26/2025,8:54:20 AM,BLANCO,0.0105,,mg/L,38.4
6/26/2025,8:54:30 AM,REAGENT BLANK,0,,mg/L,26.7
6/26/2025,8:54:44 AM,LC004808-001,0.0396,,mg/L,2
6/26/2025,8:54:58 AM,LC004808-002,0.3147,,mg/L,0.6
6/26/2025,8:55:18 AM,LC004808-003,0.3114,,mg/L,1.6
6/26/2025,8:55:34 AM,LC004808-004,0.1478,,mg/L,1.7
6/26/2025,8:55:50 AM,LC004808-005,-0.0002,,mg/L,>100
6/26/2025,8:56:06 AM,LC004808-006,-0.0053,,mg/L,50
6/26/2025,8:56:26 AM,PATRON,0.8855,,mg/L,0.7
6/26/2025,8:56:42 AM,LC004808-007,0.1539,,mg/L,1.4
6/26/2025,8:56:58 AM,LC004808-008,0.1224,,mg/L,2.8
6/26/2025,8:57:14 AM,LC004808-009,0.2601,,mg/L,0.8
6/26/2025,8:57:28 AM,LC004808-010,0.1055,,mg/L,1.4
6/26/2025,8:57:46 AM,LC004808-011,0.1669,,mg/L,1.9
6/26/2025,8:58:02 AM,LC004808-012,0.2234,,mg/L,1.5
6/26/2025,8:58:18 AM,PATRON,0.8652,,mg/L,0.5
6/26/2025,8:58:36 AM,LC004808-013,0.2051,,mg/L,0.5
6/26/2025,8:58:52 AM,LC004808-014,0.1885,,mg/L,0.7
6/26/2025,8:59:08 AM,LC004808-015,0.22,,mg/L,1.5
6/26/2025,8:59:24 AM,LC004808-016,0.0024,,mg/L,91.3
6/26/2025,8:59:42 AM,LC004808-017,0.0364,,mg/L,6.9
6/26/2025,8:59:58 AM,LC004808-018,0.0431,,mg/L,2.9
6/26/2025,9:02:30 AM,PATRON,0.889,,mg/L,0.7
6/26/2025,9:02:52 AM,LC004808-019,0.2633,,mg/L,0.9
6/26/2025,9:03:04 AM,LC004808-020,0.1069,,mg/L,0.6
6/26/2025,9:03:18 AM,LC004808-021,0.1469,,mg/L,2.3
6/26/2025,9:03:36 AM,PATRON,0.9013,,mg/L,0.9
6/26/2025,9:03:50 AM,BLANCO,0.007,,mg/L,79.3
6/26/2025,9:04:02 AM,REAGENT BLANK,0,,mg/L,52.4
,,,,,,
Method: Au AU ALTO (Flame),,,,,,
