Sample ID,Analyte Name,Reported Conc (Samp)
Comp. Cabeza Columna,Untitled 000,0.278
Cabeza puntual retorno,Untitled 000,0.266
Celda #(F1+F2),Untitled 000,0.266
Puntual Noroeste,Untitled 000,0.228
Tubo 3,Untitled 000,0.354
Comp. Cola Columna,Untitled 000,0.189
Barren,Untitled 000,0.194
Celda # 11-A,Untitled 000,0.195
Celda # 11-B,Untitled 000,0.345
Celda # 11-C,Untitled 000,0.353
Celda # 6-F2,Untitled 000,0.350
Celda #5-9,Untitled 000,0.070
NE Tubo 1,Untitled 000,0.017
NE Tubo 2,Untitled 000,0.602
NE Tubo 4,Untitled 000,0.024
NE Tubo 5,Untitled 000,0.017
NE Tubo 6,Untitled 000,0.018
NE Tubo 7,Untitled 000,0.075
Barren Patios,Untitled 000,0.179
Especial 1,Untitled 000,0.152
Especial 2,Untitled 000,0.037
Especial 3,Untitled 000,0.025
Especial 4,Untitled 000,0.025
Especial 5,Untitled 000,1.133
