Sample ID,Analyte Name,Reported Conc (Calib)
Comp. Cabeza Columna,Au 242.80,0.102
Barren,Au 242.80,0.006
Comp. Cola Columna,Au 242.80,0.005
Cabeza puntual retorno,Au 242.80,0.103
Celda # 11-A,Au 242.80,0.002
Celda # 11-B,Au 242.80,0.001
Celda # 11-C,Au 242.80,0.001
Celda # 6-F2,Au 242.80,0.02
Celda #5-9,Au 242.80,0.066
Celda #(F1+F2),Au 242.80,0.117
NE Tubo 1,Au 242.80,0.002
NE Tubo 2,Au 242.80,0.079
NE Tubo 4,Au 242.80,0.086
NE Tubo 5,Au 242.80,0.222
NE Tubo 6,Au 242.80,0.17
NE Tubo 7,Au 242.80,0.041
Puntual Noroeste,Au 242.80,0.112
Barren Patios,Au 242.80,0.009
Tubo 3,Au 242.80,0.111
Especial 1,Au 242.80,0.024
Especial 2,Au 242.80,0.075
Especial 3,Au 242.80,0.03
Especial 4,Au 242.80,0.103
Especial 5,Au 242.80,0.096
Especial 6,Au 242.80,0.002
