Sample ID,Analyte Name,Reported Conc (Calib)
Comp. Cabeza Columna,Untitled 000,1.711
Comp. Cola Columna,Untitled 000,1.03
Barren,Untitled 000,1.034
Cabeza puntual retorno,Untitled 000,1.773
Celda # 11-A,Untitled 000,0.291
Celda # 11-B,Untitled 000,0.048
Celda # 11-C,Untitled 000,2.785
Celda #5-9,Untitled 000,0.278
Celda #(F1+F2),Untitled 000,1.767
NE Tubo 1,Untitled 000,0.07
NE Tubo 2,Untitled 000,0.169
NE Tubo 4,Untitled 000,3.783
NE Tubo 5,Untitled 000,1.729
NE Tubo 6,Untitled 000,0.337
NE Tubo 7,Untitled 000,1.921
Puntual Noroeste,Untitled 000,1.653
Barren Patios,Untitled 000,0.88
Tubo 3,Untitled 000,1.384
Especial 1,Untitled 000,0.077
Especial 2,Untitled 000,0.114
Especial 3,Untitled 000,0.116
Especial 4,Untitled 000,0.42
Especial 5,Untitled 000,0.056
Especial 6,Untitled 000,0.017
Columna #1,Untitled 000,1.571
Columna #2,Untitled 000,1.503
Columna #3,Untitled 000,1.382
Columna #4,Untitled 000,1.218
Columna #5,Untitled 000,0.94
