Analyst,Claudia,,,,,,,,,,
Date Started,05/08/2023,,,,,,,,,,
Worksheet,LC000867_24,,,,,,,,,,
Comment,,,,,,,,,,,
Methods,"Au,Au",,,,,,,,,,
,,,,,,,,,,,
Method: Au (Flame),,,,,,,,,,,
,,,,,,,,,,,
05/08/2023,04:35:00 a. m.,PATRON,0.927,,mg/l,,,,,,
05/08/2023,04:35:00 a. m.,BLANCO,-0.005,,mg/l,,,,,,
05/08/2023,04:35:00 a. m.,REAGENT BLANK,0.005,,mg/l,,,,,,
05/08/2023,04:35:00 a. m.,LC000867-001,0.057314229,,mg/l,,,,,,
05/08/2023,04:35:00 a. m.,LC000867-002,0.113954418,,mg/l,,,,,,
05/08/2023,04:35:00 a. m.,LC000867-003,0.183550418,,mg/l,,,,,,
05/08/2023,04:35:00 a. m.,LC000867-004,0.30792277,,mg/l,,,,,,
05/08/2023,04:35:00 a. m.,LC000867-005,0.177798495,,mg/l,,,,,,
05/08/2023,04:35:00 a. m.,LC000867-006,0.050979608,,mg/l,,,,,,
05/08/2023,04:35:00 a. m.,PATRON,0.923,,mg/l,,,,,,
05/08/2023,04:35:00 a. m.,LC000867-007,0.073284477,,mg/l,,,,,,
05/08/2023,04:35:00 a. m.,LC000867-008,0.059950042,,mg/l,,,,,,
05/08/2023,04:35:00 a. m.,LC000867-009,0.113946825,,mg/l,,,,,,
05/08/2023,04:35:00 a. m.,LC000867-010,0.05728178,,mg/l,,,,,,
05/08/2023,04:35:00 a. m.,LC000867-011,0.065250682,,mg/l,,,,,,
05/08/2023,04:35:00 a. m.,LC000867-012,0.982377827,,mg/l,,,,,,
05/08/2023,04:35:00 a. m.,PATRON,0.927,,mg/l,,,,,,
05/08/2023,04:35:00 a. m.,LC000867-013,0.060626249,,mg/l,,,,,,
05/08/2023,04:35:00 a. m.,LC000867-014,0.037310947,,mg/l,,,,,,
05/08/2023,04:35:00 a. m.,LC000867-015,0.006,,mg/l,,,,,,
05/08/2023,04:35:00 a. m.,LC000867-016,0.038267004,,mg/l,,,,,,
05/08/2023,04:35:00 a. m.,LC000867-017,0.009663768,,mg/l,,,,,,
05/08/2023,04:35:00 a. m.,LC000867-018,0.051323069,,mg/l,,,,,,
05/08/2023,04:35:00 a. m.,PATRON,0.898,,mg/l,,,,,,
05/08/2023,04:35:00 a. m.,LC000867-019,0.279508279,,mg/l,,,,,,
05/08/2023,04:35:00 a. m.,LC000867-020,0.379312642,,mg/l,,,,,,
05/08/2023,04:35:00 a. m.,LC000867-021,0.022230333,,mg/l,,,,,,
05/08/2023,04:35:00 a. m.,LC000867-022,0.019981351,,mg/l,,,,,,
05/08/2023,04:35:00 a. m.,LC000867-023,0.023647748,,mg/l,,,,,,
05/08/2023,04:35:00 a. m.,LC000867-024,0.343668907,,mg/l,,,,,,
05/08/2023,04:35:00 a. m.,PATRON,0.885,,mg/l,,,,,,
