Sample ID,Analyte Name,Reported Conc (Samp)
Comp. Cabeza Columna,Untitled 000,0.502
Comp. Cola Columna,Untitled 000,0.301
Barren,Untitled 000,0.335
Cabeza puntual retorno,Untitled 000,0.482
Celda # 11-A,Untitled 000,1.179
Celda # 11-B,Untitled 000,0.132
Celda # 11-C,Untitled 000,0.027
Celda # 6-F2,Untitled 000,0.207
Celda #5-9,Untitled 000,0.443
Celda #(F1+F2),Untitled 000,0.433
NE Tubo 1,Untitled 000,0.028
NE Tubo 2,Untitled 000,0.259
NE Tubo 4,Untitled 000,1.179
NE Tubo 5,Untitled 000,0.990
NE Tubo 6,Untitled 000,0.267
NE Tubo 7,Untitled 000,0.103
Puntual Noroeste,Untitled 000,0.453
Barren Patios,Untitled 000,0.307
Tubo 3,Untitled 000,0.305
Especial 1,Untitled 000,0.288
Especial 2,Untitled 000,0.467
Especial 3,Untitled 000,0.069
Especial 4,Untitled 000,0.087
Especial 5,Untitled 000,0.397
