Sample ID,Analyte Name,Reported Conc (Calib)
Comp. Cabeza Columna,Untitled 000,0.242
Comp. Cola Columna,Untitled 000,0.177
Barren,Untitled 000,0.257
Cabeza puntual retorno,Untitled 000,0.246
Columna #1,Untitled 000,0.238
Columna #2,Untitled 000,0.23
Columna #3,Untitled 000,0.22
Columna #4,Untitled 000,0.197
Columna #5,Untitled 000,0.182
Celda # 11-A,Untitled 000,0.128
Celda # 11-B,Untitled 000,0.036
Celda # 11-C,Untitled 000,0.023
Celda #5-9,Untitled 000,0.134
Celda #(F1+F2),Untitled 000,0.251
NE Tubo 1,Untitled 000,0.031
NE Tubo 2,Untitled 000,0.148
NE Tubo 4,Untitled 000,0.038
NE Tubo 5,Untitled 000,0.031
NE Tubo 6,Untitled 000,0.329
NE Tubo 7,Untitled 000,0.495
Puntual Noroeste,Untitled 000,0.247
Barren Patios,Untitled 000,0.237
Tubo 3,Untitled 000,0.364
Especial 1,Untitled 000,0.476
Especial 2,Untitled 000,0.051
Especial 3,Untitled 000,0.143
Especial 4,Untitled 000,0.31
Especial 5,Untitled 000,0.061
Especial 6,Untitled 000,0.016
