Analyst,CD,,,,,
Date Started,10/28/2025 12:24 AM  GMT: 10/28/2025 7:24 AM,,,,,
Worksheet,LC005660_24,,,,,
Comment,,,,,,
Methods,"Au,Au",,,,,
,,,,,,
Method: Au (Flame),,,,,,
,,,,,,
10/28/2025,2:22:32 AM,PATRON,0.8806,,mg/L,1
10/28/2025,2:22:48 AM,BLANCO,0.0004,,mg/L,>100
10/28/2025,2:23:00 AM,REAGENT BLANK,0,,mg/L,>100
10/28/2025,2:23:12 AM,LC005660-001,0.1795,,mg/L,1.2
10/28/2025,2:23:24 AM,LC005660-002,0.0489,,mg/L,4.6
10/28/2025,2:23:34 AM,LC005660-003,0.0484,,mg/L,2.6
10/28/2025,2:23:46 AM,LC005660-004,0.0015,,mg/L,24.6
10/28/2025,2:23:58 AM,LC005660-005,0.1213,,mg/L,0.5
10/28/2025,2:24:08 AM,LC005660-006,0.0623,,mg/L,1.2
10/28/2025,2:25:00 AM,PATRON,0.8726,,mg/L,0.7
10/28/2025,2:25:14 AM,LC005660-007,0.3439,,mg/L,0.6
10/28/2025,2:25:26 AM,LC005660-008,0.1434,,mg/L,0.6
10/28/2025,2:25:38 AM,LC005660-009,0.0857,,mg/L,1.5
10/28/2025,2:25:48 AM,LC005660-010,0.0032,,mg/L,21.9
10/28/2025,2:26:00 AM,LC005660-011,0.0598,,mg/L,3.1
10/28/2025,2:26:12 AM,LC005660-012,0.2152,,mg/L,1.1
10/28/2025,2:26:24 AM,PATRON,0.8732,,mg/L,0.4
10/28/2025,2:26:36 AM,LC005660-013,0.146,,mg/L,1
10/28/2025,2:26:48 AM,LC005660-014,0.5819,,mg/L,0.7
10/28/2025,2:27:00 AM,LC005660-015,0.0144,,mg/L,5.8
10/28/2025,2:27:10 AM,LC005660-016,0.2402,,mg/L,0.6
10/28/2025,2:27:26 AM,LC005660-017,0.2679,,mg/L,0.5
10/28/2025,2:27:36 AM,LC005660-018,0.4689,,mg/L,0.5
10/28/2025,2:27:48 AM,PATRON,0.8751,,mg/L,0.4
10/28/2025,2:28:02 AM,LC005660-019,0.3615,,mg/L,1.2
10/28/2025,2:28:14 AM,LC005660-020,0.1926,,mg/L,1.6
10/28/2025,2:28:24 AM,LC005660-021,0.3001,,mg/L,0.8
10/28/2025,2:28:36 AM,LC005660-022,0.2824,,mg/L,0.3
10/28/2025,2:28:46 AM,LC005660-023,0.3348,,mg/L,0.8
10/28/2025,2:28:58 AM,LC005660-024,0.6013,,mg/L,1
10/28/2025,2:29:34 AM,PATRON,0.873,,mg/L,0.5
,,,,,,
Method: Au AU ALTO (Flame),,,,,,
