Sample ID,Analyte Name,Reported Conc (Samp)
Celda # 6-F2,Au 242.80,0.002
NE Tubo 1,Au 242.80,0.033
NE Tubo 2,Au 242.80,0.023
Comp. Cabeza Columna,Au 242.80,0.102
Cabeza puntual retorno,Au 242.80,0.104
Comp. Cola Columna,Au 242.80,0.011
Barren,Au 242.80,0.013
Celda # 11-A,Au 242.80,0.032
Celda # 11-B,Au 242.80,0.002
Celda # 11-C,Au 242.80,0.04
Celda #5-9,Au 242.80,0.277
Celda #(F1+F2),Au 242.80,0.088
NE Tubo 4,Au 242.80,0.011
NE Tubo 5,Au 242.80,0.019
NE Tubo 6,Au 242.80,0.026
NE Tubo 7,Au 242.80,0.024
Puntual Noroeste,Au 242.80,0.086
Barren Patios,Au 242.80,0.01
Tubo 3,Au 242.80,0.105
Especial 1,Au 242.80,0.189
Especial 2,Au 242.80,0.192
Especial 5,Au 242.80,0.269
Especial 3,Au 242.80,0.002
Especial 4,Au 242.80,0.001
