Sample ID,Analyte Name,Reported Conc (Calib)
Comp. Cabeza Columna,Untitled 000,0.505
Comp. Cola Columna,Untitled 000,0.337
Barren,Untitled 000,0.351
Cabeza puntual retorno,Untitled 000,0.516
Celda # 11-A,Untitled 000,0.062
Celda # 11-B,Untitled 000,0.045
Celda # 11-C,Untitled 000,0.054
Celda #5-9,Untitled 000,0.708
Celda #(F1+F2),Untitled 000,0.496
NE Tubo 1,Untitled 000,0.034
NE Tubo 2,Untitled 000,0.769
NE Tubo 4,Untitled 000,0.574
NE Tubo 5,Untitled 000,0.2
NE Tubo 6,Untitled 000,0.081
NE Tubo 7,Untitled 000,0.174
Puntual Noroeste,Untitled 000,0.406
Barren Patios,Untitled 000,0.329
Tubo 3,Untitled 000,0.373
Especial 1,Untitled 000,0.047
Especial 2,Untitled 000,0.04
Especial 3,Untitled 000,0.039
Especial 4,Untitled 000,0.053
Especial 5,Untitled 000,0.066
Especial 6,Untitled 000,0.018
Columna #1,Untitled 000,0.457
Columna #2,Untitled 000,0.471
Columna #3,Untitled 000,0.451
Columna #4,Untitled 000,0.38
Columna #5,Untitled 000,0.278
