Sample ID,Analyte Name,Reported Conc (Calib)
Comp. Cabeza Columna,Untitled 000,1.001
Comp. Cola Columna,Untitled 000,0.941
Barren,Untitled 000,0.838
Cabeza puntual retorno,Untitled 000,0.961
Celda # 11-A,Untitled 000,0.033
Celda # 11-B,Untitled 000,0.02
Celda # 11-C,Untitled 000,0.1
Celda #5-9,Untitled 000,0.047
Celda #(F1+F2),Untitled 000,0.956
NE Tubo 1,Untitled 000,0.024
NE Tubo 2,Untitled 000,0.19
NE Tubo 4,Untitled 000,2.358
NE Tubo 5,Untitled 000,1.263
NE Tubo 6,Untitled 000,0.083
NE Tubo 7,Untitled 000,1.037
Puntual Noroeste,Untitled 000,0.963
Barren Patios,Untitled 000,0.686
Tubo 3,Untitled 000,0.729
Especial 1,Untitled 000,0.028
Especial 2,Untitled 000,0.037
Especial 3,Untitled 000,0.033
Especial 4,Untitled 000,0.036
Especial 5,Untitled 000,0.029
Especial 6,Untitled 000,0.009
Columna #1,Untitled 000,0.875
Columna #2,Untitled 000,0.858
Columna #3,Untitled 000,0.856
Columna #4,Untitled 000,0.817
Columna #5,Untitled 000,0.761
