Sample ID,Analyte Name,Reported Conc (Samp)
Comp. Cabeza Columna,Au 242.80,0.129
Cabeza puntual retorno,Au 242.80,0.13
Celda #(F1+F2),Au 242.80,0.138
Puntual Noroeste,Au 242.80,0.171
Tubo 3,Au 242.80,0.186
NE Tubo 2,Au 242.80,0.035
NE Tubo 4,Au 242.80,0.109
Especial 1,Au 242.80,0.053
Especial 2,Au 242.80,0.042
Especial 3,Au 242.80,0.012
Especial 4,Au 242.80,0.005
Especial 5,Au 242.80,0.043
Comp. Cola Columna,Au 242.80,0.011
Barren,Au 242.80,0.018
Barren Patios,Au 242.80,0.018
NE Tubo 1,Au 242.80,0.107
NE Tubo 5,Au 242.80,0.035
NE Tubo 6,Au 242.80,0.123
NE Tubo 7,Au 242.80,0.383
Celda # 11-A,Au 242.80,0.024
Celda # 11-B,Au 242.80,0.007
Celda # 11-C,Au 242.80,0.006
Celda # 6-F2,Au 242.80,0.061
Celda #5-9,Au 242.80,0.045
