Analyst,,,,,,
Date Started,4/28/2025 12:51 AM  GMT: 4/28/2025 7:51 AM,,,,,
Worksheet,LC004321_24,,,,,
Comment,,,,,,
Methods,"Au,Au",,,,,
,,,,,,
Method: Au (Flame),,,,,,
,,,,,,
4/28/2025,1:00:06 AM,PATRON,0.9169,,mg/L,1.3
4/28/2025,1:00:24 AM,BLANCO,0.0124,,mg/L,28
4/28/2025,1:00:34 AM,REAGENT BLANK,0,,mg/L,13.8
4/28/2025,1:01:02 AM,LC004321-001,0.0799,,mg/L,1.5
4/28/2025,1:01:16 AM,LC004321-002,0.0723,,mg/L,2
4/28/2025,1:01:32 AM,LC004321-003,0.0706,,mg/L,3.3
4/28/2025,1:01:46 AM,LC004321-004,0.787,,mg/L,0.4
4/28/2025,1:02:02 AM,LC004321-005,0.1008,,mg/L,0.5
4/28/2025,1:02:18 AM,LC004321-006,0.0949,,mg/L,0.6
4/28/2025,1:02:34 AM,PATRON,0.8859,,mg/L,0.9
4/28/2025,1:02:50 AM,LC004321-007,0.0842,,mg/L,0.2
4/28/2025,1:03:06 AM,LC004321-008,0.1057,,mg/L,0.9
4/28/2025,1:03:20 AM,LC004321-009,0.3744,,mg/L,0.6
4/28/2025,1:03:38 AM,LC004321-010,0.3631,,mg/L,0.1
4/28/2025,1:03:54 AM,LC004321-011,0.0144,,mg/L,3.2
4/28/2025,1:04:10 AM,LC004321-012,0.0682,,mg/L,1.2
4/28/2025,1:04:26 AM,PATRON,0.901,,mg/L,0.5
4/28/2025,1:04:42 AM,LC004321-013,0.09,,mg/L,1.3
4/28/2025,1:04:58 AM,LC004321-014,0.1706,,mg/L,0.2
4/28/2025,1:05:14 AM,LC004321-015,0.2036,,mg/L,0.4
4/28/2025,1:05:30 AM,LC004321-016,0.3236,,mg/L,0.5
4/28/2025,1:05:46 AM,LC004321-017,0.1043,,mg/L,1.4
4/28/2025,1:05:58 AM,LC004321-018,OVER,R,mg/L,0
4/28/2025,1:06:14 AM,PATRON,0.9036,,mg/L,0.8
4/28/2025,1:07:40 AM,LC004321-024,0.4425,,mg/L,0.7
4/28/2025,1:07:54 AM,PATRON,0.8935,,mg/L,0.7
4/28/2025,1:08:02 AM,PATRON,0.9037,,mg/L,1.2
4/28/2025,1:09:32 AM,LC004321-021,0.0033,,mg/L,27.8
4/28/2025,1:09:46 AM,LC004321-022,0.009,,mg/L,8.3
4/28/2025,1:09:58 AM,BLANCO,-0.0003,,mg/L,>100
4/28/2025,1:10:08 AM,REAGENT BLANK,0,,mg/L,21.7
4/28/2025,1:10:30 AM,LC004321-023,0.118,,mg/L,1.2
4/28/2025,1:11:12 AM,LC004321-019,0.2748,,mg/L,1.2
4/28/2025,1:11:24 AM,LC004321-020,0.07,,mg/L,1
,,,,,,
Method: Au AU ALTO (Flame),,,,,,
,,,,,,
,,,,,,
4/28/2025,1:13:40 AM,LC004321-018,3.0664,,mg/L,0.8
