Analista,,,,,,
Fecha de inicio,11/11/2025 12:50 a. m.  GMT: 11/11/2025 07:50 a. m.,,,,,
Hoja de trabajo,LC005756_24,,,,,
Comentario,,,,,,
Métodos,"Au,Au",,,,,
,,,,,,
Método: Au ACIDO (Llama),,,,,,
,,,,,,
11/11/2025,01:35:46 a. m.,PATRON,0.8805,,mg/L,0.2
11/11/2025,01:35:58 a. m.,BLANCO,0.0019,,mg/L,51.7
11/11/2025,01:36:12 a. m.,REAGENT BLANK,0,,mg/L,38.6
11/11/2025,01:36:28 a. m.,LC005756-016,0.1597,,mg/L,0.6
11/11/2025,01:36:42 a. m.,LC005756-017,1.0792,,mg/L,0.1
11/11/2025,01:36:58 a. m.,LC005756-018,0.7438,,,
11/11/2025,01:37:12 a. m.,LC005756-019,0.008,,mg/L,0.5
11/11/2025,01:37:28 a. m.,LC005756-020,0.1903,,mg/L,>100
11/11/2025,01:37:40 a. m.,LC005756-022,0.0802,,,
11/11/2025,01:37:56 a. m.,PATRON,0.8805,,,
11/11/2025,01:38:06 a. m.,LC005756-023,0.3989,,mg/L,0.4
11/11/2025,01:38:20 a. m.,PATRON,0.8896,,mg/L,>100
11/11/2025,01:38:32 a. m.,BLANCO,0.0059,,mg/L,>100
11/11/2025,01:38:46 a. m.,REAGENT BLANK,0,,,
