Analista,,,,,,,,,,
Fecha de inicio,23/01/2023 11:20 p. m.  GMT: 24/01/2023 05:20 a. m.,,,,,,,,,
Hoja de trabajo,SA000129_3,,,,,,,,,
Comentario,,,,,,,,,,
Métodos,Au,,,,,,,,,
,,,,,,,,,,
Método: Au EFAA30 (Llama),,,,,,,,,,
,,,,,,,,,,
,CERO CAL,0,,mg/L,>100,-0.0001,0.0004,-0.0003,-0.0002,0.0001
,PATRÓN 1,0.5,,mg/L,0.6,0.0162,-0.0002,0.0162,0.0161,0.0163
,PATRÓN 2,1,,mg/L,0.6,0.0344,-0.0001,0.0342,0.0346,0.0344
,PATRÓN 3,2,,mg/L,0.9,0.0654,0.0002,0.0661,0.0651,0.065
,PATRÓN 4,5,,mg/L,0.9,0.17,0,0.1687,0.1716,0.1697
,PATRÓN 5,10,,mg/L,0.9,0.3348,0.0005,0.3317,0.3378,0.3351
,PATRON,0.5127,,mg/L,3.6,0.0168,0.0001,0.0175,0.0163,0.0167
,BLANCO,-0.0048,,mg/L,>100,-0.0002,-0.0001,-0.0002,-0.0004,0.0001
,BLANCO REACTIVO,0,,mg/L,49.8,-0.0005,0.0004,-0.0004,-0.0008,-0.0003
,SA000129-001,0.157,,mg/L,2.8,0.0222,0.0014,0.0226,0.0225,0.0215
,SA000129-002,0.2329,,mg/L,1.6,0.033,0.0013,0.0326,0.0329,0.0336
,SA000129-003,0.123,,mg/L,1.2,0.0173,0.0015,0.0175,0.0172,0.0172
,SA000129-004,0.2681,,mg/L,0.7,0.0381,0.0014,0.0381,0.0384,0.0379
,SA000129-005,0.2626,,mg/L,1.8,0.0372,0.0013,0.0372,0.0379,0.0366
,PATRON,0.5028,,mg/L,2.1,0.0165,0.0008,0.0169,0.0163,0.0163
,SA000129-006,0.598,,mg/L,0.3,0.086,0.0017,0.0857,0.086,0.0862
,SA000129-007,0.169,,mg/L,0.9,0.0239,0.0018,0.0241,0.0237,0.0238
,SA000129-008,0.2447,,mg/L,0.8,0.0348,0.0015,0.035,0.0345,0.035
,SA000129-009,0.355,,mg/L,0.6,0.0507,0.0016,0.0509,0.0503,0.0508
,SA000129-010,-0.0024,,mg/L,34,-0.0003,0.0019,-0.0004,-0.0004,-0.0002
,PATRON,0.5012,,mg/L,1.4,0.0165,0.0008,0.0167,0.0165,0.0162
,BLANCO,0.0067,,mg/L,>100,0.0002,0.0005,0.001,-0.0004,0
,BLANCO REACTIVO,0,,mg/L,13.7,-0.001,0.0006,-0.001,-0.0011,-0.0008
,SA000129-011,0.0963,,mg/L,1.3,0.0136,0.0021,0.0136,0.0134,0.0137
,SA000129-012,0.1811,,mg/L,3,0.0256,0.002,0.0247,0.0263,0.0257
,SA000129-013,0.4371,,mg/L,0.6,0.0625,0.0019,0.0624,0.0621,0.0629
,SA000129-014,0.2904,,mg/L,1.5,0.0413,0.0021,0.0407,0.0414,0.0419
,SA000129-015,0.2603,,mg/L,1.5,0.037,0.0018,0.0366,0.0367,0.0376
,PATRON,0.5019,,mg/L,3.2,0.0165,0.0015,0.0171,0.0161,0.0162
,SA000129-016,0.0895,,mg/L,0.8,0.0126,0.0018,0.0125,0.0126,0.0127
,SA000129-017,0.2224,,mg/L,1.6,0.0315,0.0022,0.0315,0.0321,0.0311
,SA000129-018,0.2022,,mg/L,0.7,0.0287,0.002,0.0287,0.0288,0.0284
,SA000129-019,0.2006,,mg/L,0.6,0.0284,0.002,0.0284,0.0285,0.0282
,SA000129-020,0.2095,,mg/L,0.6,0.0296,0.0021,0.0297,0.0295,0.0298
,PATRON,0.5022,,mg/L,2.7,0.0165,0.0016,0.0162,0.0163,0.017
,BLANCO,-0.0022,,mg/L,>100,-0.0001,0.0015,-0.0001,0,-0.0001
,BLANCO REACTIVO,0,,mg/L,46.9,-0.0011,0.0007,-0.0005,-0.0015,-0.0014
,SA000129-021,0.1081,,mg/L,1.2,0.0152,0.0019,0.0154,0.0151,0.0151
,SA000129-022,0.1095,,mg/L,1.3,0.0154,0.0022,0.0154,0.0156,0.0152
,SA000129-023,0.0015,,mg/L,65.6,0.0002,0.0022,0.0001,0.0004,0.0001
,SA000129-024,0.0098,,mg/L,27.3,0.0014,0.0021,0.001,0.0015,0.0017
,SA000129-025,0.1307,,mg/L,1.1,0.0185,0.0022,0.0187,0.0182,0.0185
,PATRON,0.4969,,mg/L,0.6,0.0163,0.0019,0.0163,0.0164,0.0162
,SA000129-026,0.1311,,mg/L,1.2,0.0185,0.0021,0.0184,0.0187,0.0183
,SA000129-027,0.0661,,mg/L,1,0.0093,0.0023,0.0094,0.0092,0.0093
,SA000129-028,0.0745,,mg/L,1.9,0.0105,0.0024,0.0106,0.0106,0.0102
,PATRON,0.4847,,mg/L,3.7,0.0159,0.0021,0.0164,0.0152,0.0161
,BLANCO,-0.0004,,mg/L,>100,0,0.0018,0.0004,-0.0001,-0.0003
,BLANCO REACTIVO,0,,mg/L,16.4,-0.0011,0.0008,-0.0012,-0.0009,-0.0011
Muestra 044,,,mg/L,,,,,,,
