Sample ID,Analyte Name,Reported Conc (Calib)
Comp. Cabeza Columna,Untitled 000,1.188
Comp. Cola Columna,Untitled 000,0.793
Barren,Untitled 000,0.625
Cabeza puntual retorno,Untitled 000,1.208
Celda # 11-A,Untitled 000,3.035
Celda # 11-B,Untitled 000,0.758
Celda # 11-C,Untitled 000,0.107
Celda # 6-F2,Untitled 000,0.271
Celda #5-9,Untitled 000,0.211
Celda #(F1+F2),Untitled 000,1.09
NE Tubo 1,Untitled 000,0.033
NE Tubo 2,Untitled 000,0.385
NE Tubo 4,Untitled 000,2.314
NE Tubo 5,Untitled 000,1.817
NE Tubo 6,Untitled 000,1.235
NE Tubo 7,Untitled 000,0.585
Puntual Noroeste,Untitled 000,0.957
Barren Patios,Untitled 000,0.59
Tubo 3,Untitled 000,0.384
Especial 1,Untitled 000,0.13
Especial 2,Untitled 000,0.077
Especial 3,Untitled 000,0.248
Especial 4,Untitled 000,0.234
Especial 5,Untitled 000,0.165
Especial 6,Untitled 000,0.333
