Sample ID,Analyte Name,Reported Conc (Samp)
Comp. Cabeza Columna,Untitled 000,0.402
Cabeza puntual retorno,Untitled 000,0.386
Celda #(F1+F2),Untitled 000,0.373
Puntual Noroeste,Untitled 000,0.471
Tubo 3,Untitled 000,0.175
Comp. Cola Columna,Untitled 000,0.262
Barren,Untitled 000,0.262
Celda # 11-A,Untitled 000,0.025
Celda # 11-B,Untitled 000,0.022
Celda # 11-C,Untitled 000,0.212
Celda #5-9,Untitled 000,1.251
NE Tubo 1,Untitled 000,0.019
NE Tubo 2,Untitled 000,0.547
NE Tubo 4,Untitled 000,0.950
NE Tubo 5,Untitled 000,0.342
NE Tubo 6,Untitled 000,0.887
NE Tubo 7,Untitled 000,0.315
Barren Patios,Untitled 000,0.240
Especial 1,Untitled 000,0.248
Especial 2,Untitled 000,0.989
Especial 3,Untitled 000,0.031
Especial 4,Untitled 000,0.033
Especial 5,Untitled 000,0.938
Columna #1,Untitled 000,0.337
Columna #2,Untitled 000,0.321
Columna #3,Untitled 000,0.291
Columna #4,Untitled 000,0.253
Columna #5,Untitled 000,0.219
