"Analista",""
"Fecha de inicio","28/01/2026 07:36 a. m.  GMT: 28/01/2026 02:36 p. m."
"Hoja de trabajo","LC006244-RE"
"Comentario",""
"Métodos","Au,Au"

"Método: Au ACIDO (Llama)"

"28/01/2026","08:07:06 a. m.","PATRON",0.9020,"","mg/L",0.3
"28/01/2026","08:07:26 a. m.","BLANCO",0.0118,"","mg/L",38.0
"28/01/2026","08:07:38 a. m.","REAGENT BLANK",0.0000,"","mg/L",22.8
"28/01/2026","08:07:52 a. m.","LC006242-007","OVER","R","mg/L",0.0
"28/01/2026","08:08:10 a. m.","LC006242-008",1.4254,"","mg/L",0.8
"28/01/2026","08:08:26 a. m.","LC006242-009",1.5183,"","mg/L",0.4
"28/01/2026","08:08:44 a. m.","LC006242-010",1.4280,"","mg/L",0.9
"28/01/2026","08:09:02 a. m.","LC006242-011",0.1772,"","mg/L",0.4
"28/01/2026","08:09:22 a. m.","PATRON",0.8927,"","mg/L",0.8
"28/01/2026","08:09:22 a. m.","BLANCO","","","mg/L",""

"Método: Au AU ALTO (Llama)"


"28/01/2026","08:13:38 a. m.","BLANCO",0.0142,"","mg/L",18.3
"28/01/2026","08:14:04 a. m.","REAGENT BLANK",0.0000,"","mg/L",31.7
"28/01/2026","08:14:26 a. m.","LC006242-007",1.9959,"","mg/L",0.9
"28/01/2026","08:14:28 a. m.","BLANCO","","","mg/L",""
