Sample ID,Analyte Name,Reported Conc (Calib)
Comp. Cabeza Columna,Untitled 000,1.042
Comp. Cola Columna,Untitled 000,0.964
Barren,Untitled 000,0.877
Cabeza puntual retorno,Untitled 000,1.027
Celda # 11-A,Untitled 000,0.056
Celda # 11-B,Untitled 000,0.042
Celda # 11-C,Untitled 000,0.111
Celda #5-9,Untitled 000,0.062
Celda #(F1+F2),Untitled 000,1.023
NE Tubo 1,Untitled 000,0.033
NE Tubo 2,Untitled 000,0.279
NE Tubo 4,Untitled 000,2.219
NE Tubo 5,Untitled 000,1.377
NE Tubo 6,Untitled 000,0.141
NE Tubo 7,Untitled 000,1.072
Puntual Noroeste,Untitled 000,1.045
Barren Patios,Untitled 000,0.859
Tubo 3,Untitled 000,0.761
Especial 1,Untitled 000,0.045
Especial 2,Untitled 000,0.036
Especial 3,Untitled 000,0.049
Especial 4,Untitled 000,0.051
Especial 5,Untitled 000,0.043
Especial 6,Untitled 000,0.028
Columna #1,Untitled 000,1.041
Columna #2,Untitled 000,1.044
Columna #3,Untitled 000,1.075
Columna #4,Untitled 000,1.041
Columna #5,Untitled 000,0.976
