Sample ID,Analyte Name,Reported Conc (Samp)
Comp. Cabeza Columna,Au 242.80,0.131
Cabeza puntual retorno,Au 242.80,0.129
Celda #(F1+F2),Au 242.80,0.135
Puntual Noroeste,Au 242.80,0.156
Tubo 3,Au 242.80,0.145
NE Tubo 2,Au 242.80,0.079
NE Tubo 4,Au 242.80,0.285
Especial 1,Au 242.80,0.023
Especial 2,Au 242.80,0.027
Especial 3,Au 242.80,0.137
Especial 4,Au 242.80,0.137
Especial 5,Au 242.80,0.023
Columna #1,Au 242.80,0.088
Columna #2,Au 242.80,0.032
Columna #3,Au 242.80,0.011
Columna #4,Au 242.80,0.005
Columna #5,Au 242.80,0.014
Comp. Cola Columna,Au 242.80,0.01
Barren,Au 242.80,0.016
Barren Patios,Au 242.80,0.01
NE Tubo 1,Au 242.80,0.011
NE Tubo 5,Au 242.80,0.258
NE Tubo 6,Au 242.80,0.185
NE Tubo 7,Au 242.80,0.049
Celda # 11-A,Au 242.80,0.171
Celda # 11-B,Au 242.80,0.087
Celda # 11-C,Au 242.80,0.08
Celda #5-9,Au 242.80,0.031
