"Analista",""
"Fecha de inicio","8/17/2023 5:26 AM  GMT: 8/17/2023 12:26 PM"
"Hoja de trabajo","LC000994-RCK_24"
"Comentario",""
"Métodos","Au,Au"

"Método: Au (Llama)"

"8/17/2023","5:32:02 AM","PATRON",0.8869,"","mg/L"
"8/17/2023","5:32:20 AM","BLANCO",0.0123,"","mg/L"
"8/17/2023","5:32:42 AM","BLANCO REACTIVO REAG",0.0253,"","mg/L"
"8/17/2023","5:33:08 AM","LC000994-001",0.0976,"","mg/L"
"8/17/2023","5:33:22 AM","LC000994-002",0.0115,"","mg/L"
"8/17/2023","5:33:36 AM","LC000994-003",0.1051,"","mg/L"
"8/17/2023","5:33:54 AM","LC000994-004",0.0429,"","mg/L"
"8/17/2023","5:34:10 AM","LC000994-005",0.0449,"","mg/L"
"8/17/2023","5:34:24 AM","LC000994-006","OVER","R","mg/L"
"8/17/2023","5:34:46 AM","PATRON",0.8745,"","mg/L"
"8/17/2023","5:35:06 AM","LC000994-007",1.2535,"","mg/L"
"8/17/2023","5:35:24 AM","LC000994-008",1.5672,"","mg/L"
"8/17/2023","5:35:40 AM","LC000994-009","OVER","R","mg/L"
"8/17/2023","5:35:56 AM","LC000994-010","OVER","R","mg/L"
"8/17/2023","5:36:12 AM","LC000994-011",0.3795,"","mg/L"
"8/17/2023","5:36:30 AM","LC000994-012",0.0953,"","mg/L"
"8/17/2023","5:37:16 AM","PATRON",0.9023,"","mg/L"
"8/17/2023","5:37:48 AM","LC000994-014",0.4776,"","mg/L"
"8/17/2023","5:38:22 AM","LC000994-013",0.4600,"","mg/L"
"8/17/2023","5:38:38 AM","LC000994-015",0.1653,"","mg/L"
"8/17/2023","5:38:58 AM","LC000994-016",0.4322,"","mg/L"
"8/17/2023","5:39:18 AM","LC000994-017",1.5925,"","mg/L"
"8/17/2023","5:39:36 AM","LC000994-018",0.9163,"","mg/L"
"8/17/2023","5:40:10 AM","LC000994-019",1.2241,"","mg/L"
"8/17/2023","5:40:30 AM","LC000994-020",0.7515,"","mg/L"
"8/17/2023","5:40:46 AM","LC000994-021",0.0689,"","mg/L"
"8/17/2023","5:41:04 AM","LC000994-022",0.0668,"","mg/L"
"8/17/2023","5:41:22 AM","LC000994-023",0.1152,"","mg/L"
"8/17/2023","5:41:40 AM","LC000994-024",0.1941,"","mg/L"
"8/17/2023","5:41:56 AM","PATRON",0.8903,"","mg/L"
"8/17/2023","5:42:14 AM","BLANCO",0.0285,"","mg/L"
"8/17/2023","5:42:26 AM","BLANCO REACTIVO REAG",0.0238,"","mg/L"
"8/17/2023","5:44:52 AM","PATRON",0.8826,"","mg/L"
"8/17/2023","5:44:52 AM","Muestra 034","","","mg/L"

"Método: Au AU ALTO (Llama)"


"8/17/2023","5:47:56 AM","LC000994-006",3.3671,"","mg/L"
"8/17/2023","5:48:14 AM","LC000994-009",3.0796,"","mg/L"
"8/17/2023","5:48:22 AM","LC000994-010",24.3912,"","mg/L"
"8/17/2023","5:48:22 AM","Muestra 034","","","mg/L"
