Sample ID,Analyte Name,Reported Conc (Calib)
Comp. Cabeza Columna,Untitled 000,2.149
Comp. Cola Columna,Untitled 000,1.27
Barren,Untitled 000,1.268
Cabeza puntual retorno,Untitled 000,2.064
Celda # 11-A,Untitled 000,0.54
Celda # 11-B,Untitled 000,0.909
Celda # 11-C,Untitled 000,0.262
Celda #5-9,Untitled 000,0.975
Celda #(F1+F2),Untitled 000,2.261
NE Tubo 1,Untitled 000,0.029
NE Tubo 2,Untitled 000,0.275
NE Tubo 4,Untitled 000,2.321
NE Tubo 5,Untitled 000,2.827
NE Tubo 6,Untitled 000,0.979
NE Tubo 7,Untitled 000,3.276
Puntual Noroeste,Untitled 000,2.342
Tubo 3,Untitled 000,2.907
Especial 1,Untitled 000,0.085
Especial 2,Untitled 000,0.034
Especial 3,Untitled 000,0.314
Especial 4,Untitled 000,0.93
Especial 5,Untitled 000,0.367
Especial 6,Untitled 000,0.523
Columna #1,Untitled 000,2.267
Columna #2,Untitled 000,2.207
Columna #3,Untitled 000,2.063
Columna #4,Untitled 000,1.851
Columna #5,Untitled 000,1.463
