"Analyst","EVE"
"Date Started","6/15/2025 9:18 PM  GMT: 6/16/2025 4:18 AM"
"Worksheet","LC004743"
"Comment",""
"Methods","Au,Au"

"Method: Au ACIDO (Flame)"

"6/15/2025","9:55:38 PM","PATRON",0.9009,"","mg/L",0.4
"6/15/2025","9:55:52 PM","BLANCO",0.0026,"","mg/L",">100"
"6/15/2025","9:56:02 PM","REAGENT BLANK",0.0000,"","mg/L",">100"
"6/15/2025","9:56:18 PM","LC004743-001",0.0323,"","mg/L",5.2
"6/15/2025","9:56:30 PM","LC004743-002",0.0031,"","mg/L",43.9
"6/15/2025","9:56:42 PM","LC004743-003",0.0044,"","mg/L",9.8
"6/15/2025","9:56:54 PM","LC004743-004",0.0615,"","mg/L",4.3
"6/15/2025","9:57:06 PM","LC004743-005",0.0262,"","mg/L",10.6
"6/15/2025","9:57:18 PM","LC004743-006",0.0315,"","mg/L",7.1
"6/15/2025","9:57:34 PM","PATRON",0.9016,"","mg/L",0.6
"6/15/2025","9:57:56 PM","LC004743-007",0.1955,"","mg/L",1.4
"6/15/2025","9:58:10 PM","LC004743-008",0.2011,"","mg/L",1.2
"6/15/2025","9:58:22 PM","LC004743-009","OVER","R","mg/L",0.0
"6/15/2025","9:58:38 PM","LC004743-010",0.4522,"","mg/L",1.1
"6/15/2025","9:59:00 PM","PATRON",0.8901,"","mg/L",0.6
"6/15/2025","9:59:12 PM","BLANCO",-0.0042,"","mg/L",">100"
"6/15/2025","9:59:22 PM","REAGENT BLANK",0.0000,"","mg/L",">100"
"6/15/2025","9:59:22 PM","","","","mg/L",""

"Method: Au AU ALTO (Flame)"


"6/15/2025","10:08:24 PM","PATRON",0.9117,"","mg/L",0.6
"6/15/2025","10:08:36 PM","BLANCO",0.0105,"","mg/L",84.1
"6/15/2025","10:08:46 PM","REAGENT BLANK",0.0000,"","mg/L",">100"
"6/15/2025","10:09:08 PM","LC004743-009",3.1705,"","mg/L",1.2
"6/15/2025","10:09:08 PM","","","","mg/L",""
