Sample ID,Analyte Name,Reported Conc (Calib)
Comp. Cabeza Columna,Untitled 000,1.079
Comp. Cola Columna,Untitled 000,0.652
Barren,Untitled 000,0.674
Cabeza puntual retorno,Untitled 000,1.062
Celda # 11-A,Untitled 000,0.52
Celda # 11-B,Untitled 000,0.204
Celda # 11-C,Untitled 000,0.029
Celda # 6-F2,Untitled 000,3.628
Celda #5-9,Untitled 000,1.594
Celda #(F1+F2),Untitled 000,0.636
NE Tubo 1,Untitled 000,0.033
NE Tubo 2,Untitled 000,0.081
NE Tubo 4,Untitled 000,0.122
NE Tubo 5,Untitled 000,0.045
NE Tubo 6,Untitled 000,0.155
NE Tubo 7,Untitled 000,0.84
Puntual Noroeste,Untitled 000,0.567
Barren Patios,Untitled 000,0.693
Tubo 3,Untitled 000,0.953
Especial 1,Untitled 000,3.829
Especial 2,Untitled 000,0.558
Especial 3,Untitled 000,0.44
Especial 4,Untitled 000,0.655
Especial 5,Untitled 000,1.266
Especial 6,Untitled 000,0.041
