Analyst,,,,,
Date Started,2/14/2025 11:51 PM  GMT: 2/15/2025 6:51 AM,,,,
Worksheet,LC003744_24,,,,
Comment,,,,,
Methods,"Au,Au",,,,
,,,,,
Method: Au (Flame),,,,,
,,,,,
2/15/2025,12:05:04 AM,PATRON,0.8991,,mg/L
2/15/2025,12:05:20 AM,BLANCO,0.0019,,mg/L
2/15/2025,12:05:30 AM,REAGENT BLANK,0,,mg/L
2/15/2025,12:05:48 AM,LC003744-001,0.1592,,mg/L
2/15/2025,12:06:02 AM,LC003744-002,0.1018,,mg/L
2/15/2025,12:06:18 AM,LC003744-003,0.1847,,mg/L
2/15/2025,12:06:32 AM,LC003744-004,0.1039,,mg/L
2/15/2025,12:06:48 AM,LC003744-005,0.0829,,mg/L
2/15/2025,12:07:04 AM,LC003744-006,0.1063,,mg/L
2/15/2025,12:07:22 AM,PATRON,0.8948,,mg/L
2/15/2025,12:07:48 AM,LC003744-007,0.0702,,mg/L
2/15/2025,12:08:04 AM,LC003744-008,0.0935,,mg/L
2/15/2025,12:08:18 AM,LC003744-009,0.0021,,mg/L
2/15/2025,12:08:28 AM,LC003744-010,OVER,R,mg/L
2/15/2025,12:08:44 AM,LC003744-011,0.2208,,mg/L
2/15/2025,12:08:58 AM,LC003744-012,0.0076,,mg/L
2/15/2025,12:09:20 AM,PATRON,0.8857,,mg/L
2/15/2025,12:09:38 AM,LC003744-013,0.0065,,mg/L
2/15/2025,12:09:54 AM,LC003744-014,0.9563,,mg/L
2/15/2025,12:10:12 AM,LC003744-015,0.2447,,mg/L
2/15/2025,12:10:28 AM,LC003744-016,0.1466,,mg/L
2/15/2025,12:10:42 AM,LC003744-017,0.2574,,mg/L
2/15/2025,12:10:58 AM,LC003744-018,0.0843,,mg/L
2/15/2025,12:11:12 AM,PATRON,0.893,,mg/L
2/15/2025,12:11:28 AM,PATRON,0.8849,,mg/L
2/15/2025,12:11:44 AM,BLANCO,0.0128,,mg/L
2/15/2025,12:11:54 AM,REAGENT BLANK,0,,mg/L
2/15/2025,12:11:54 AM,PATRON,,,mg/L
,,,,,
Method: Au AU ALTO (Flame),,,,,
,,,,,
,,,,,
2/15/2025,12:18:44 AM,LC003744-010,1.9684,,mg/L
