Sample ID,Analyte Name,Reported Conc (Samp)
Comp. Cabeza Columna,Untitled 000,0.392
Cabeza puntual retorno,Untitled 000,0.414
Celda #(F1+F2),Untitled 000,0.41
Puntual Noroeste,Untitled 000,0.399
Tubo 3,Untitled 000,0.416
NE Tubo 2,Untitled 000,0.093
NE Tubo 4,Untitled 000,0.691
Especial 1,Untitled 000,0.037
Especial 2,Untitled 000,0.033
Especial 3,Untitled 000,0.033
Especial 4,Untitled 000,0.252
Especial 5,Untitled 000,0.03
Columna #1,Untitled 000,0.374
Columna #2,Untitled 000,0.357
Columna #3,Untitled 000,0.34
Columna #4,Untitled 000,0.331
Comp. Cola Columna,Untitled 000,0.388
Barren,Untitled 000,0.345
Barren Patios,Untitled 000,0.334
NE Tubo 1,Untitled 000,0.038
NE Tubo 5,Untitled 000,0.312
NE Tubo 6,Untitled 000,0.285
NE Tubo 7,Untitled 000,0.45
Celda # 11-A,Untitled 000,0.112
Celda # 11-B,Untitled 000,0.213
Celda # 11-C,Untitled 000,0.042
Celda #5-9,Untitled 000,0.022
