Sample ID,Analyte Name,Reported Conc (Calib)
Comp. Cabeza Columna,Untitled 000,2.008
Comp. Cola Columna,Untitled 000,1.61
Barren,Untitled 000,1.488
Cabeza puntual retorno,Untitled 000,1.838
Celda # 11-A,Untitled 000,0.457
Celda # 11-B,Untitled 000,0.03
Celda # 11-C,Untitled 000,0.924
Celda # 6-F2,Untitled 000,0.033
Celda #5-9,Untitled 000,0.569
Celda #(F1+F2),Untitled 000,1.351
NE Tubo 1,Untitled 000,0.017
NE Tubo 2,Untitled 000,0.3
NE Tubo 4,Untitled 000,2.515
NE Tubo 5,Untitled 000,2.865
NE Tubo 6,Untitled 000,1.363
NE Tubo 7,Untitled 000,1.052
Puntual Noroeste,Untitled 000,1.892
Barren Patios,Untitled 000,1.363
Tubo 3,Untitled 000,1.964
Especial 1,Untitled 000,0.043
Especial 2,Untitled 000,0.014
Especial 3,Untitled 000,0.379
Especial 4,Untitled 000,1.242
Especial 5,Untitled 000,0.092
Especial 6,Untitled 000,0.019
