Analista,,,,,,
Fecha de inicio,20/01/2026 01:57 a. m.  GMT: 20/01/2026 08:57 a. m.,,,,,
Hoja de trabajo,LC006193_24,,,,,
Comentario,,,,,,
Métodos,"Au,Au",,,,,
,,,,,,
Método: Au (Llama),,,,,,
,,,,,,
20/01/2026,02:02:20 a. m.,PATRON,0.9122,,mg/L,0.4
20/01/2026,02:02:30 a. m.,BLANCO,-0.0033,,mg/L,>100
20/01/2026,02:02:40 a. m.,REAGENT BLANK,0,,mg/L,>100
20/01/2026,02:02:52 a. m.,LC006193-001,0.5094,,mg/L,0.3
20/01/2026,02:03:06 a. m.,LC006193-002,1.0176,,mg/L,0.1
20/01/2026,02:03:16 a. m.,LC006193-003,OVER,R,mg/L,0
20/01/2026,02:03:28 a. m.,LC006193-004,0.5028,,mg/L,0.7
20/01/2026,02:03:46 a. m.,LC006193-005,0.0069,,mg/L,10.1
20/01/2026,02:04:00 a. m.,LC006193-006,0.9899,,mg/L,0.1
20/01/2026,02:04:16 a. m.,PATRON,0.9125,,mg/L,0.1
20/01/2026,02:04:32 a. m.,LC006193-007,0.4276,,mg/L,0.1
20/01/2026,02:04:46 a. m.,LC006193-008,0.1443,,mg/L,0.2
20/01/2026,02:04:58 a. m.,LC006193-009,0.2635,,mg/L,0.9
20/01/2026,02:05:12 a. m.,LC006193-010,0.2454,,mg/L,0.9
20/01/2026,02:05:24 a. m.,LC006193-011,0.0049,,mg/L,13.3
20/01/2026,02:05:38 a. m.,LC006193-012,0.1232,,mg/L,1.1
20/01/2026,02:05:52 a. m.,PATRON,0.901,,mg/L,1.6
20/01/2026,02:06:18 a. m.,LC006193-014,0.4759,,mg/L,0
20/01/2026,02:06:36 a. m.,PATRON,0.9037,,mg/L,1.2
20/01/2026,02:06:48 a. m.,BLANCO,0.0071,,mg/L,36.1
20/01/2026,02:07:06 a. m.,REAGENT BLANK,0,,mg/L,60.2
20/01/2026,02:11:06 a. m.,LC006193-013,0.123,,mg/L,0.7
,,,,,,
,,,,,,
Método: Au AU ALTO (Llama),,,,,,
,,,,,,
,,,,,,
20/01/2026,02:09:10 a. m.,LC006193-003,2.197,,mg/L,1.4
