Analista,,,,,,
Fecha de inicio,16/12/2025 11:13 a. m.  GMT: 16/12/2025 06:13 p. m.,,,,,
Hoja de trabajo,EXP000175_24,,,,,
Comentario,,,,,,
Métodos,"Au,Au",,,,,
,,,,,,
Método: Au (Llama),,,,,,
,,,,,,
16/12/2025,11:22:56 a. m.,PATRON,1.0035,,mg/L,0.2
16/12/2025,11:23:10 a. m.,BLANCO,0.0009,,mg/L,>100
16/12/2025,11:23:26 a. m.,REAGENT BLANK,0,,mg/L,32.1
16/12/2025,11:24:18 a. m.,EXP000175-003,0.1271,,mg/L,2.1
16/12/2025,11:24:30 a. m.,EXP000175-004,0.0008,,mg/L,50.3
16/12/2025,11:24:44 a. m.,EXP000175-005,0.002,,mg/L,82.1
16/12/2025,11:25:00 a. m.,EXP000175-006,0.0533,,mg/L,0.6
16/12/2025,11:25:14 a. m.,PATRON,1.0147,,mg/L,0.6
16/12/2025,11:25:28 a. m.,EXP000175-007,1.0138,,mg/L,0.8
16/12/2025,11:25:42 a. m.,PATRON,1.0037,,mg/L,1.8
16/12/2025,11:25:54 a. m.,BLANCO,0.0094,,mg/L,63.5
16/12/2025,11:26:04 a. m.,REAGENT BLANK,0,,mg/L,26.3
16/12/2025,11:28:38 a. m.,EXP000175-001,0.1131,,mg/L,0
16/12/2025,11:28:52 a. m.,EXP000175-002,0.1686,,mg/L,0
,,,,,,
,,,,,,
Método: Au AU ALTO (Llama),,,,,,
